,Destination,Out Date,Out Duration,Out Stops,Out Time,Company names,Price,Url,timestamp
0,63cy,2022-07-16,36t. 55min. ,"2 stop GDN, KRK ",07:50–21:45+1,Ryanair,"
828 kr. ",https://kayak.dk/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M2&plid=9965447&pid=MyTrip_FSR_da_DK&prv=MyTrip_FSR_da_DK&srch=SfCiIAnLeo&ploc=da_DK&atype=SponsoredResult&prc=828.00&cpnid=7073550&xpExt=&aidExt=&lid=MyTrip_FSR_da_DK-SfCiIAnLeo&qorig=Airport:CPH&octid=&qdest=Airport:LCA&qstart=1657944000000&qend=1657944000000&qtravelers=2&qrooms=0&qow=true&qfcc=e&qdctid=32005&qdac=LCA&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=fEOIOOjpbH4OJ1TGW57whw==&ah=9eN4KhDLDXRXiCDm9ffcLE0KkQlUbrYzdHYS2UcHqjs&resid=3c0d0bc275c78d09b0552ea588db3a0a&bookid=E-1ec1ef0621b&seekProv=SEAT24&trueProv=SEAT24&fid=&rank=2&stid=&qadults=2&qchild=0&_sid_=R-49l15l2rYAH8v1k4y_dLB-lTNunQX1kKcCXsl9rg9lZyNerVHaftTTD7Sa7WkNt&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220506-2157
1,63cy,2022-07-16,3t. 55min. ,direkte ,06:55–11:50,Norwegian,"
2.417 kr. ",https://kayak.dk/book/flight?code=SfCiIAnLeo.0Cx9insxRz2lB60_7nlgXQ.34341.d9cd06f8a99ffad201c8d791d180dbdb&h=3eaa2c336f66&sub=E-10d8a89f4e9&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0,20220506-2157
2,63cy,2022-07-16,29t. 25min. ,1 stop GDN ,07:50–14:15+1,Ryanair,"
668 kr. ",https://kayak.dk/book/flight?code=SfCiIAnLeo.FTZUJ6SC9iEmFcdAejOqIg.9491.73935f6c92c846318a32569a64429767&h=75871e70dfd4&_kw_pbranded=true&sub=E-157a97bf000&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220506-2157
3,63cy,2022-07-16,5t. 50min. ,1 stop ZRH ,20:00–02:50+1,SWISS,"
2.155 kr. ",https://kayak.dk/book/flight?code=SfCiIAnLeo.gUEDyXbJuqWKtDGeeN0IhQ.30618.96179fa189e1284dc32d3cc2afc2d2be&h=f4d25f402062&sub=E-112f02eec59&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2,20220506-2157
4,63cy,2022-07-16,5t. 50min. ,1 stop ZRH ,20:00–02:50+1,"SWISS, Edelweiss Air","
2.409 kr. ",https://kayak.dk/book/flight?code=SfCiIAnLeo.ZheJHZqHLmzKJvcpKN_waA.34219.b568fe58f98d8b6a4a235ab508670ef4&h=2348e138d571&sub=E-1806b77a48b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M3,20220506-2157
5,63cy,2022-07-16,6t. 05min. ,1 stop VIE ,17:35–00:40+1,Austrian Airlines,"
2.414 kr. ",https://kayak.dk/book/flight?code=SfCiIAnLeo.e60g2LFm7BOKtDGeeN0IhQ.34291.221ce68727c2a2951882930c33a67da0&h=752385d7556b&sub=E-1008006e5bd&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4,20220506-2157
6,63cy,2022-07-16,6t. 35min. ,1 stop ATH ,12:35–20:10,Aegean Airlines,"
2.542 kr. ",https://kayak.dk/book/flight?code=SfCiIAnLeo.tb4DAgHpn3sEdn9PX-8xhQ.36109.c3e553f176f2150dcac8bd2cc3999f68&h=f6b82f75556f&sub=E-1189fc906d1&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5,20220506-2157
7,63cy,2022-07-16,6t. 05min. ,1 stop FRA ,19:15–02:20+1,"SAS, Lufthansa","
2.545 kr. ",https://kayak.dk/book/flight?code=SfCiIAnLeo.7e2QikHpsTMDzQq2dWkU9A.36153.791cd84ec45e5ea0db50c330bd683e16&h=e51d1922ae9a&sub=E-1b967d7fc76&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6,20220506-2157
8,63cy,2022-07-16,6t. 05min. ,1 stop FRA ,19:15–02:20+1,Lufthansa,"
2.827 kr. ",https://kayak.dk/book/flight?code=SfCiIAnLeo.e60g2LFm7BOKtDGeeN0IhQ.40159.0d517bb20e75cb60787980d548e0640a&h=68fc2544bf04&sub=E-12504c486fe&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7,20220506-2157
9,63cy,2022-07-16,9t. 10min. ,"2 stop ZAG, SOF ",06:00–16:10,Flere flyselskaber,"
1.714 kr. ",https://kayak.dk/book/flight?code=SfCiIAnLeo.47F3EeHCWiIEdn9PX-8xhQ.24353.4469d453894dd70ca0f060ca6f624c30&h=bee2887bf0d1&sub=E-1a5a5e2fe51&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M8,20220506-2157
