,Destination,Out Date,Out Duration,Out Stops,Out Time,Company names,Price,Url,timestamp
0,63cy,2022-07-21,14t. 30min. ,1 stop GDN ,07:50–23:20,Ryanair,"
480 kr. ",https://kayak.dk/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M2&plid=9965447&pid=MyTrip_FSR_da_DK&prv=MyTrip_FSR_da_DK&srch=ShACTHZH0h&ploc=da_DK&atype=SponsoredResult&prc=480.00&cpnid=7073550&xpExt=&aidExt=&lid=MyTrip_FSR_da_DK-ShACTHZH0h&qorig=Airport:CPH&octid=&qdest=Airport:LCA&qstart=1658376000000&qend=1658376000000&qtravelers=2&qrooms=0&qow=true&qfcc=e&qdctid=32005&qdac=LCA&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=fEOIOOjpbH4OJ1TGW57whw==&ah=RfVMZ3NSxUMX7Mor9LUxujOKo1lOagSlGHTh_LkAjt4&resid=be4e3a92991f6e37050a18fbcb1e9d1b&bookid=E-1b66f9f02dc&seekProv=SEAT24&trueProv=SEAT24&fid=&rank=2&stid=&qadults=2&qchild=0&_sid_=R-421Evi_W1GhnT9PrAWqrc-KVCOFGa2QTcIFuHRBCEWT3dCljR7ufHVi1jbWlzg4&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220506-2236
1,63cy,2022-07-21,4t. 05min. ,direkte ,20:35–01:40+1,Wizz Air,"
897 kr. ",https://kayak.dk/book/flight?code=ShACTHZH0h.e60g2LFm7BOKtDGeeN0IhQ.12738.1fca2128d9faf68d0a7c738456100b37&h=116621fa8abb&sub=E-130252be3ea&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0,20220506-2236
2,63cy,2022-07-21,14t. 30min. ,1 stop GDN ,07:50–23:20,Ryanair,"
473 kr. ",https://kayak.dk/book/flight?code=ShACTHZH0h.eNCwACMVOeJpd4CyPwn0EI6M4XD8KcmF.6714.be4e3a92991f6e37050a18fbcb1e9d1b&h=b49d6d00c282&sub=E-1bb60be310f&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220506-2236
3,63cy,2022-07-21,5t. 15min. ,1 stop BEG ,21:05–03:20+1,Air Serbia,"
1.031 kr. ",https://kayak.dk/book/flight?code=ShACTHZH0h.FTZUJ6SC9iEmFcdAejOqIg.14649.819660b0daca3405a66e87f6080c1565&h=740ebbea85c5&_kw_pbranded=true&sub=E-109ceef5a38&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2,20220506-2236
4,63cy,2022-07-21,6t. 50min. ,1 stop ATH ,17:30–01:20+1,Aegean Airlines,"
1.273 kr. ",https://kayak.dk/book/flight?code=ShACTHZH0h.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.18087.eba5831e750ef6f50689a0aa071a6c7d&h=88957063f260&sub=E-1a5dd732813&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M3,20220506-2236
5,63cy,2022-07-21,9t. 25min. ,1 stop GDN ,12:55–23:20,"Norwegian, Ryanair","
744 kr. ",https://kayak.dk/book/flight?code=ShACTHZH0h.eNCwACMVOeJpd4CyPwn0EI6M4XD8KcmF.10564.a86129e8c6001c6be232fb523bbac0d8&h=9ba62b8a3d45&sub=E-1ea73b8c60e&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4,20220506-2236
6,63cy,2022-07-21,7t. 35min. ,1 stop SKG ,07:00–15:35,"SAS, Aegean Airlines","
1.635 kr. ",https://kayak.dk/book/flight?code=ShACTHZH0h.ZheJHZqHLmzKJvcpKN_waA.23222.9e64b2ab0cea09893efa1be73a84b733&h=ccd94a2c3dce&sub=E-1806b77a48b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5,20220506-2236
7,63cy,2022-07-21,7t. 35min. ,1 stop SKG ,07:00–15:35,Aegean Airlines,"
1.668 kr. ",https://kayak.dk/book/flight?code=ShACTHZH0h.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.23692.8b6472910f151a35f43d99c18fd4e802&h=ccf0deeb0f8c&sub=E-1a5dd732813&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6,20220506-2236
8,63cy,2022-07-21,6t. 50min. ,"2 stop SKG, ATH ",07:00–14:50,Aegean Airlines,"
1.840 kr. ",https://kayak.dk/book/flight?code=ShACTHZH0h.tb4DAgHpn3sEdn9PX-8xhQ.26136.77ce1ecc04455e59d46342d336c03422&h=f6f569773cfc&sub=E-1189fc906d1&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7,20220506-2236
9,63cy,2022-07-21,10t. 35min. ,1 stop OTP ,21:50–09:25+1,"Wizz Air, Blue Air","
1.089 kr. ",https://kayak.dk/book/flight?code=ShACTHZH0h.eNCwACMVOeJpd4CyPwn0EI6M4XD8KcmF.15473.15bc1abb550a8dd64dab956b08ca0ebb&h=b7bfd81e49a2&sub=E-15e20529e1b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M8,20220506-2236
10,63cy,2022-07-21,12t. 00min. ,"2 stop WAW, OTP ",09:55–22:55,"LOT, Blue Air","
1.221 kr. ",https://kayak.dk/book/flight?code=ShACTHZH0h.47F3EeHCWiIEdn9PX-8xhQ.17341.59060dcdaced74262cfbb6e59c98bd94&h=1caddaf7807a&sub=E-1db6f97c17c&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M9,20220506-2236
11,63cy,2022-07-21,11t. 10min. ,1 stop WAW-WMI ,09:55–22:05,"LOT, Ryanair","
1.354 kr. ",https://kayak.dk/book/flight?code=ShACTHZH0h.FTZUJ6SC9iEmFcdAejOqIg.19238.e8c90f9595dc9aa0354fcb612aa4006d&h=4e700ea0d674&_kw_pbranded=true&sub=E-1622230267f&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M10,20220506-2236
12,63cy,2022-07-21,8t. 15min. ,1 stop GDN ,14:05–23:20,"SAS, Ryanair","
1.604 kr. ",https://kayak.dk/book/flight?code=ShACTHZH0h.eNCwACMVOeJpd4CyPwn0EI6M4XD8KcmF.22790.8f780341355688db62943d8c4537f535&h=a7dac9adec72&sub=E-16dacc069bf&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M11,20220506-2236
