,Destination,Out Date,Out Duration,Out Stops,Out Time,Company names,Price,Url,timestamp
0,63cy,2022-08-08,5t. 40min. ,1 stop ATH ,11:25–18:05,Aegean Airlines,"
1.060 kr. ",https://kayak.dk/book/flight?code=SiBiZRHrU9.OpE0eUgMt9vBDARZyLA7ng.15061.3d1c167ad58c97e9a6692f719b1c9a65&h=b2193a3e130d&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0,20220506-2316
1,63cy,2022-08-08,10t. 40min. ,1 stop ATH ,11:25–23:05,Aegean Airlines,"
875 kr. ",https://kayak.dk/book/flight?code=SiBiZRHrU9.OpE0eUgMt9vBDARZyLA7ng.12432.2c496c92b7191791885aa25846f4c7aa&h=eb88510251a2&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220506-2316
2,63cy,2022-08-08,5t. 20min. ,1 stop BEG ,21:00–03:20+1,Air Serbia,"
1.115 kr. ",https://kayak.dk/book/flight?code=SiBiZRHrU9.9fdXKKS7VFPX5HxgfjXj60KjG3h1fuZ4.15837.c62e2cc0c702053085ad453a2fed7458&h=a3ac667394c2&sub=E-190543529f2&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2,20220506-2316
3,63cy,2022-08-08,7t. 45min. ,1 stop ATH ,11:25–20:10,Aegean Airlines,"
1.060 kr. ",https://kayak.dk/book/flight?code=SiBiZRHrU9.OpE0eUgMt9vBDARZyLA7ng.15061.d760d0238d154129d2cb168c26be488f&h=e5a1040b088b&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M3,20220506-2316
4,63cy,2022-08-08,12t. 55min. ,1 stop ATH ,11:25–01:20+1,Aegean Airlines,"
875 kr. ",https://kayak.dk/book/flight?code=SiBiZRHrU9.OpE0eUgMt9vBDARZyLA7ng.12432.da6e0574c372f4873ba4e26099b74dd6&h=a7588df22d02&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4,20220506-2316
5,63cy,2022-08-08,6t. 05min. ,1 stop VIE ,17:35–00:40+1,Austrian Airlines,"
2.341 kr. ",https://kayak.dk/book/flight?code=SiBiZRHrU9.tzkMHu-8yP0.33261.50789344aa4f90d09ddcfccbbecf62c6&h=3cb3a39a1d0c&sub=E-1fe6633b9da&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5,20220506-2316
6,63cy,2022-08-08,7t. 40min. ,"2 stop MUC, ATH ",06:10–14:50,Aegean Airlines,"
2.347 kr. ",https://kayak.dk/book/flight?code=SiBiZRHrU9.9lYSaCmVMIfX5HxgfjXj60KjG3h1fuZ4.33336.b5b0d89b040b69e67b1a9c76f9a65b5c&h=4bd3bc2500c5&sub=E-1fb6840c210&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6,20220506-2316
7,63cy,2022-08-08,8t. 45min. ,"2 stop FRA, VIE ",14:55–00:40+1,Lufthansa,"
1.952 kr. ",https://kayak.dk/book/flight?code=SiBiZRHrU9.ZO8uPiOYZs0.27734.7ef0c1075f37351b46d5fc202f59728b&h=00fa0b07982c&sub=E-1ea799c2b64&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7,20220506-2316
8,63cy,2022-08-08,11t. 45min. ,"2 stop FRA, VIE ",11:55–00:40+1,Lufthansa,"
1.952 kr. ",https://kayak.dk/book/flight?code=SiBiZRHrU9.ZO8uPiOYZs0.27734.ba2c7dad0d0d9b8d40dcb1093f71d6f1&h=a553b0584120&sub=E-1ea799c2b64&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M8,20220506-2316
9,63cy,2022-08-08,11t. 45min. ,"2 stop FRA, VIE ",11:55–00:40+1,Lufthansa,"
1.952 kr. ",https://kayak.dk/book/flight?code=SiBiZRHrU9.ZO8uPiOYZs0.27734.66e47c6dc997ed88c4acd8d9f2cc64fb&h=dcb8b5960925&sub=E-1ea799c2b64&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M9,20220506-2316
10,63cy,2022-08-08,9t. 25min. ,"2 stop FRA, ATH ",14:55–01:20+1,Aegean Airlines,"
2.280 kr. ",https://kayak.dk/book/flight?code=SiBiZRHrU9.9lYSaCmVMIfX5HxgfjXj60KjG3h1fuZ4.32389.918a4b1f64c059a22f5f79acd7fd1b6e&h=0d0f39237be6&sub=E-1fb6840c210&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M10,20220506-2316
11,63cy,2022-08-08,10t. 25min. ,"2 stop MUC, ATH ",08:45–20:10,Aegean Airlines,"
2.347 kr. ",https://kayak.dk/book/flight?code=SiBiZRHrU9.9lYSaCmVMIfX5HxgfjXj60KjG3h1fuZ4.33336.39d8f68cbdc23bc26671169c14f098c3&h=bbe820998550&sub=E-1fb6840c210&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M11,20220506-2316
12,63cy,2022-08-08,7t. 40min. ,1 stop MUC ,06:10–14:50,Lufthansa,"
2.781 kr. ",https://kayak.dk/book/flight?code=SiBiZRHrU9.ZO8uPiOYZs0.39512.0f948780dfc3401ef83b09a9060f0be2&h=7fa0f890ad93&sub=E-1c9d07b710e&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M12,20220506-2316
13,63cy,2022-08-08,8t. 30min. ,1 stop VIE ,07:05–16:35,Austrian Airlines,"
2.815 kr. ",https://kayak.dk/book/flight?code=SiBiZRHrU9.tzkMHu-8yP0.39995.fd4d656339e9539208750db4e710866a&h=2a306aca6749&sub=E-1fe6633b9da&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M13,20220506-2316
14,63cy,2022-08-08,7t. 40min. ,"2 stop MUC, ATH ",06:10–14:50,"Lufthansa, Aegean Airlines","
2.888 kr. ",https://kayak.dk/book/flight?code=SiBiZRHrU9.G9QQN_lF2QPBDARZyLA7ng.41032.9f9d9901b69d12d4302d6faa53a13609&h=09cf95c805b1&sub=E-1640b1f6c63&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M14,20220506-2316
15,63cy,2022-08-08,15t. 35min. ,"2 stop ARN, ATH ",23:00–15:35+1,"SAS, TUS Airways","
1.554 kr. ",https://kayak.dk/book/flight?code=SiBiZRHrU9.eNCwACMVOeJpd4CyPwn0EI6M4XD8KcmF.22072.145d2108631ceba16c5556fe61ba5621&h=69e4cc992175&sub=E-15e20529e1b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M16,20220506-2316
16,63cy,2022-08-08,14t. 55min. ,"2 stop MUC, VIE ",08:45–00:40+1,Lufthansa,"
1.907 kr. ",https://kayak.dk/book/flight?code=SiBiZRHrU9.ZO8uPiOYZs0.27095.98fbfd4b0237157abbcfa46bae2dab8a&h=545586e07a22&sub=E-1ea799c2b64&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M17,20220506-2316
17,63cy,2022-08-08,17t. 30min. ,"2 stop MUC, VIE ",06:10–00:40+1,Lufthansa,"
1.907 kr. ",https://kayak.dk/book/flight?code=SiBiZRHrU9.ysfH673XYZnX5HxgfjXj60KjG3h1fuZ4.27095.45c6083701f0d371edb9af2dbae87de8&h=36994fb1feec&sub=E-1fac8908b93&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M18,20220506-2316
18,63cy,2022-08-08,11t. 45min. ,"2 stop FRA, VIE ",11:55–00:40+1,Lufthansa,"
1.952 kr. ",https://kayak.dk/book/flight?code=SiBiZRHrU9.ZO8uPiOYZs0.27734.ba2c7dad0d0d9b8d40dcb1093f71d6f1&h=a553b0584120&sub=E-1ea799c2b64&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M19,20220506-2316
19,63cy,2022-08-08,11t. 45min. ,"2 stop FRA, VIE ",11:55–00:40+1,Lufthansa,"
1.952 kr. ",https://kayak.dk/book/flight?code=SiBiZRHrU9.ZO8uPiOYZs0.27734.66e47c6dc997ed88c4acd8d9f2cc64fb&h=dcb8b5960925&sub=E-1ea799c2b64&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M20,20220506-2316
20,63cy,2022-08-08,14t. 00min. ,"2 stop FRA, VIE ",09:40–00:40+1,Lufthansa,"
1.952 kr. ",https://kayak.dk/book/flight?code=SiBiZRHrU9.ZO8uPiOYZs0.27734.17eef3c51a33747d87030ee1afe2473b&h=ddd5dcf7d0db&sub=E-1ea799c2b64&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M21,20220506-2316
21,63cy,2022-08-08,17t. 20min. ,"2 stop FRA, VIE ",06:20–00:40+1,Lufthansa,"
1.952 kr. ",https://kayak.dk/book/flight?code=SiBiZRHrU9.ysfH673XYZnX5HxgfjXj60KjG3h1fuZ4.27734.4cfa79570506b6178b045c7a57460a39&h=286b5487dde5&sub=E-1fac8908b93&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M22,20220506-2316
