,Destination,Out Date,Out Duration,Out Stops,Out Time,Company names,Price,Url,timestamp
0,63cy,2022-08-03,6t. 05min. ,1 stop VIE ,17:35–00:40+1,Austrian Airlines,"
2.375 kr. ",https://kayak.dk/book/flight?code=SiCiI6hHyU.tzkMHu-8yP0.33744.f54afd16fd13ada4a6e6ede8b9315664&h=24d31e319195&sub=E-1fe6633b9da&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0,20220506-2307
1,63cy,2022-08-03,16t. 35min. ,1 stop VIE ,07:05–00:40+1,Austrian Airlines,"
2.434 kr. ",https://kayak.dk/book/flight?code=SiCiI6hHyU.tzkMHu-8yP0.34582.988f198ddb25c2efbc8dfe6dcc3d6b0d&h=105d053323d1&sub=E-1fe6633b9da&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220506-2307
2,63cy,2022-08-03,27t. 40min. ,1 stop VIE ,20:00–00:40+2,Austrian Airlines,"
1.981 kr. ",https://kayak.dk/book/flight?code=SiCiI6hHyU.tzkMHu-8yP0.28146.12159a3444b61b9c8ca7ac3fea79c3a4&h=5adaea064fc9&sub=E-1fe6633b9da&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2,20220506-2307
3,63cy,2022-08-03,21t. 50min. ,"2 stop CDG, BEG ",14:55–13:45+1,Air France,"
3.142 kr. ",https://kayak.dk/book/flight?code=SiCiI6hHyU.scU5lTLQcTc.44641.2a445b190046ffb1e6ee10e376a032de&h=af6153b5e078&sub=E-18bd41ed602&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M3,20220506-2307
4,63cy,2022-08-03,24t. 50min. ,"2 stop CDG, BEG ",11:55–13:45+1,Air France,"
2.905 kr. ",https://kayak.dk/book/flight?code=SiCiI6hHyU.scU5lTLQcTc.41274.c17096042632ae5b0b98a0a78d424a7f&h=e1c94eaf222c&sub=E-18bd41ed602&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4,20220506-2307
