,Destination,Out Date,Out Duration,Out Stops,Out Time,Company names,Price,Url,timestamp
0,63cy,2022-08-06,6t. 35min. ,1 stop ATH ,12:35–20:10,Aegean Airlines,"
1.060 kr. ",https://kayak.dk/book/flight?code=SiBiXakd2Y.OpE0eUgMt9vBDARZyLA7ng.15061.dbcadd9ecea0f92faf4ded24127395bd&h=1c5d6e332ac7&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0,20220506-2309
1,63cy,2022-08-06,11t. 45min. ,1 stop ATH ,12:35–01:20+1,Aegean Airlines,"
710 kr. ",https://kayak.dk/book/flight?code=SiBiXakd2Y.OpE0eUgMt9vBDARZyLA7ng.10088.0b5fde577cbb782f646f8d8d41b10c00&h=d098fe7797c3&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220506-2309
2,63cy,2022-08-06,9t. 30min. ,1 stop ATH ,12:35–23:05,Aegean Airlines,"
875 kr. ",https://kayak.dk/book/flight?code=SiBiXakd2Y.OpE0eUgMt9vBDARZyLA7ng.12432.bfdb41bcf45d6130ecb6b6e52db1e6ab&h=a20652dd2248&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2,20220506-2309
3,63cy,2022-08-06,14t. 10min. ,1 stop HEL ,19:15–10:25+1,Finnair,"
1.520 kr. ",https://kayak.dk/book/flight?code=SiBiXakd2Y._EXVo5H1FyPBDARZyLA7ng.21596.689aeed552922bf4b22fdf357630e165&h=7c2d608b7b9c&sub=E-197c53de357&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M3,20220506-2309
4,63cy,2022-08-06,6t. 50min. ,1 stop ATH ,10:15–18:05,"SAS, Aegean Airlines","
2.323 kr. ",https://kayak.dk/book/flight?code=SiBiXakd2Y.-COZ-Slz34a7ImCnqdurig.33001.27328decd128f85c7573d76b0a022b8c&h=0d486c1817e5&sub=E-164a9200d75&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4,20220506-2309
5,63cy,2022-08-06,6t. 05min. ,1 stop FRA ,19:15–02:20+1,Lufthansa,"
2.417 kr. ",https://kayak.dk/book/flight?code=SiBiXakd2Y.G9QQN_lF2QPBDARZyLA7ng.34341.cc0ae5a90ade43a01cd711873a33750d&h=a47005f9c21a&sub=E-1e6e06feef0&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5,20220506-2309
6,63cy,2022-08-06,7t. 40min. ,1 stop MUC ,06:10–14:50,Lufthansa,"
2.470 kr. ",https://kayak.dk/book/flight?code=SiBiXakd2Y.ysfH673XYZnX5HxgfjXj60KjG3h1fuZ4.35094.4a7f155ab6bbc8740abab867562de01b&h=e0dc95fd5287&sub=E-1b8176fd1c6&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6,20220506-2309
7,63cy,2022-08-06,5t. 50min. ,1 stop ZRH ,20:00–02:50+1,SWISS,"
2.623 kr. ",https://kayak.dk/book/flight?code=SiBiXakd2Y.aXx7J4vJD0cDzQq2dWkU9A.37267.f556639e9fb6282587f0f95d79eb075d&h=13eb809e18d6&sub=E-159a5c66abf&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7,20220506-2309
8,63cy,2022-08-06,6t. 05min. ,1 stop VIE ,17:35–00:40+1,Austrian Airlines,"
2.626 kr. ",https://kayak.dk/book/flight?code=SiBiXakd2Y.tzkMHu-8yP0.37310.06b21c7f38dfcae4cf98898dd96c9c3f&h=998d4dc45c9e&sub=E-1fe6633b9da&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M8,20220506-2309
9,63cy,2022-08-06,5t. 50min. ,1 stop ZRH ,20:00–02:50+1,"SWISS, Edelweiss Air","
2.842 kr. ",https://kayak.dk/book/flight?code=SiBiXakd2Y.-COZ-Slz34a7ImCnqdurig.40372.c4ceac104424133fda410901f62c7981&h=40b917176afa&sub=E-164a9200d75&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M9,20220506-2309
