,Destination,Out Date,Out Duration,Out Stops,Out Time,Company names,Price,Url,timestamp
0,63cy,2022-07-20,15t. 15min. ,1 stop RIX ,19:30–11:45+1,airBaltic,"
724 kr. ",https://kayak.dk/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=5252610&pid=TravellinkBranded_FSR_da_DK&prv=TravellinkBranded_FSR_da_DK&srch=ShBiSXGRfr&ploc=da_DK&atype=SponsoredResult&prc=724.00&cpnid=7068600&xpExt=&aidExt=&lid=TravellinkBranded_FSR_da_DK-ShBiSXGRfr&qorig=Airport:CPH&octid=&qdest=Airport:LCA&qstart=1658289600000&qend=1658289600000&qtravelers=2&qrooms=0&qow=true&qfcc=e&qdctid=32005&qdac=LCA&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=kM5Rp7DLydurTXNTDsiyRg==&ah=78u15V5j1sDj9QfsVFp5OIGUblvt30bFuaUFyfT5WcM&resid=fdeac2136d16d16b14586b38163552b9&bookid=E-1b0f2de0ade&seekProv=TRAVELLINK&trueProv=TRAVELLINK&fid=&rank=1&stid=&qadults=2&qchild=0&_sid_=R-421Evi_W1GhnT9PrAWqrc-KVCOFGa2QTcIFuHRBCEWT3dCljR7ufHVi1jbWlzg4&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220506-2233
1,63cy,2022-07-20,6t. 50min. ,1 stop ATH ,17:30–01:20+1,Aegean Airlines,"
1.090 kr. ",https://kayak.dk/book/flight?code=ShBiSXGRfr.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.15487.d9326578933d90ce4187821d85e5e5fc&h=188c46afd39b&sub=E-1a5dd732813&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0,20220506-2233
2,63cy,2022-07-20,15t. 15min. ,1 stop RIX ,19:30–11:45+1,airBaltic,"
632 kr. ",https://kayak.dk/book/flight?code=ShBiSXGRfr.Fs5fII-p3hc0ejdxgNj3abaYAeeTFjgE.8974.fdeac2136d16d16b14586b38163552b9&h=1a687a1ebce4&sub=E-1b71ccbbfb5&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220506-2233
3,63cy,2022-07-20,11t. 05min. ,1 stop BUD ,22:00–10:05+1,Ryanair,"
1.074 kr. ",https://kayak.dk/book/flight?code=ShBiSXGRfr.eNCwACMVOeJpd4CyPwn0EI6M4XD8KcmF.15260.1b7929bc471cb5ebcbb1f9afdcc3623c&h=45c30c23a7b5&sub=E-1bb60be310f&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2,20220506-2233
4,63cy,2022-07-20,13t. 35min. ,"2 stop RIX, VNO ",19:30–10:05+1,"airBaltic, Wizz Air","
1.090 kr. ",https://kayak.dk/book/flight?code=ShBiSXGRfr.47F3EeHCWiIEdn9PX-8xhQ.15480.4fc5441c4547ac5f1fd3de1713b4ce83&h=a5b5124d5ff9&sub=E-1db6f97c17c&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M3,20220506-2233
5,63cy,2022-07-20,15t. 05min. ,1 stop ATH ,17:30–09:35+1,Aegean Airlines,"
1.090 kr. ",https://kayak.dk/book/flight?code=ShBiSXGRfr.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.15487.c7477d5d4cc912d3f47b9e1cecf4e8f2&h=0da8097a5705&sub=E-1a5dd732813&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4,20220506-2233
6,63cy,2022-07-20,8t. 50min. ,1 stop FCO-CIA ,10:35–20:25,Ryanair,"
1.563 kr. ",https://kayak.dk/book/flight?code=ShBiSXGRfr.RX7w4XG0_ZINUvH8T-y68A.22200.4e9ae83d1c449c4768dfa4a2cf01ce6d&h=5e79ad6d822c&sub=E-1bec1a2f841&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5,20220506-2233
7,63cy,2022-07-20,7t. 40min. ,"2 stop MUC, ATH ",06:10–14:50,Aegean Airlines,"
2.239 kr. ",https://kayak.dk/book/flight?code=ShBiSXGRfr.tb4DAgHpn3sEdn9PX-8xhQ.31812.69a87fe9f4b341c05000d26c1efad621&h=b62b1b627528&sub=E-1189fc906d1&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6,20220506-2233
8,63cy,2022-07-20,12t. 20min. ,1 stop BER ,21:20–10:40+1,"easyJet, Ryanair","
1.043 kr. ",https://kayak.dk/book/flight?code=ShBiSXGRfr.FTZUJ6SC9iEmFcdAejOqIg.14812.4d6e547d84cfde528f492b1222ec3b3b&h=1c3c77b20f60&_kw_pbranded=true&sub=E-1479b17f317&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7,20220506-2233
9,63cy,2022-07-20,17t. 05min. ,"3 stop WAW, FCO, ... ",14:55–09:00+1,Wizz Air,"
1.060 kr. ",https://kayak.dk/book/flight?code=ShBiSXGRfr.47F3EeHCWiIEdn9PX-8xhQ.15054.2cc774c1054a9ea54f5e0f3f1fe1062e&h=bbad9cef8f84&sub=E-1db6f97c17c&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M8,20220506-2233
