,Destination,Out Date,Out Duration,Out Stops,Out Time,Company names,Price,Url,timestamp
0,63cy,2022-07-15,5t. 50min. ,1 stop ATH ,11:15–18:05,Aegean Airlines,"
2.233 kr. ",https://kayak.dk/book/flight?code=SfAiivuWQT.-COZ-Slz34a7ImCnqdurig.31723.9953cf0bd54020a710bef55b2db1b6c7&h=52a943e86ad7&sub=E-164a9200d75&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0,20220506-2151
1,63cy,2022-07-15,13t. 05min. ,1 stop PRG ,20:10–10:15+1,Eurowings,"
1.276 kr. ",https://kayak.dk/book/flight?code=SfAiivuWQT.-COZ-Slz34a7ImCnqdurig.18121.6a3fce42b2e6ef223240c336409ca468&h=008017d603fd&sub=E-164a9200d75&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220506-2151
2,63cy,2022-07-15,5t. 50min. ,1 stop ZRH ,20:00–02:50+1,"SWISS, Edelweiss Air","
2.842 kr. ",https://kayak.dk/book/flight?code=SfAiivuWQT.-COZ-Slz34a7ImCnqdurig.40372.5bec090649c8cc25f5a83dafa075d893&h=c68e6840fe9a&sub=E-164a9200d75&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2,20220506-2151
3,63cy,2022-07-15,7t. 55min. ,1 stop ATH ,11:15–20:10,Aegean Airlines,"
2.324 kr. ",https://kayak.dk/book/flight?code=SfAiivuWQT.OpE0eUgMt9vBDARZyLA7ng.33019.a601460cee895524cdc7b938327d5dee&h=acb7702873d5&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M3,20220506-2151
4,63cy,2022-07-15,5t. 50min. ,1 stop ZRH ,20:00–02:50+1,SWISS,"
2.987 kr. ",https://kayak.dk/book/flight?code=SfAiivuWQT.k__A2aLI5Kc.42439.fa081f876b7ece1d075d91f73927272e&h=51da734524bd&sub=E-1f00442dadf&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4,20220506-2151
5,63cy,2022-07-15,9t. 25min. ,"2 stop FRA, ATH ",14:55–01:20+1,Aegean Airlines,"
2.444 kr. ",https://kayak.dk/book/flight?code=SfAiivuWQT.9lYSaCmVMIfX5HxgfjXj60KjG3h1fuZ4.34715.cf2bf205817745da617c71c048478144&h=c82175811dae&sub=E-1fb6840c210&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5,20220506-2151
6,63cy,2022-07-15,8t. 50min. ,1 stop ZRH ,09:25–19:15,SWISS,"
2.813 kr. ",https://kayak.dk/book/flight?code=SfAiivuWQT.k__A2aLI5Kc.39967.34f36827bc97b83869f4bbf1bee9ac09&h=70ec06f0a6bd&sub=E-1f00442dadf&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6,20220506-2151
7,63cy,2022-07-15,8t. 50min. ,1 stop ZRH ,09:25–19:15,"SWISS, Edelweiss Air","
2.842 kr. ",https://kayak.dk/book/flight?code=SfAiivuWQT.-COZ-Slz34a7ImCnqdurig.40372.f35bcaaeb91d5b8eead06a0320876024&h=dacd6bf4f573&sub=E-164a9200d75&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7,20220506-2151
8,63cy,2022-07-15,7t. 40min. ,1 stop MUC ,06:10–14:50,Lufthansa,"
2.948 kr. ",https://kayak.dk/book/flight?code=SfAiivuWQT.ZO8uPiOYZs0.41885.0a804e2c2ea873d2cf4fc7dbab395568&h=23287b98597c&sub=E-1c9d07b710e&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M8,20220506-2151
9,63cy,2022-07-15,6t. 05min. ,1 stop VIE ,17:35–00:40+1,Austrian Airlines,"
3.115 kr. ",https://kayak.dk/book/flight?code=SfAiivuWQT.tzkMHu-8yP0.44258.10c5563d2a8e864bc8675f4ca8cb5870&h=43253529dd30&sub=E-1fe6633b9da&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M9,20220506-2151
