,Destination,Out Date,Out Duration,Out Stops,Out Time,Company names,Price,Url,timestamp
0,63cy,2022-08-15,5t. 40min. ,1 stop ATH ,11:25–18:05,Aegean Airlines,"
1.060 kr. ",https://kayak.dk/book/flight?code=SjCCi0DJRF.OpE0eUgMt9vBDARZyLA7ng.15061.15719aef284a9a8899da82d8016bb672&h=ec2bc2c42732&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0,20220506-2338
1,63cy,2022-08-15,10t. 40min. ,1 stop ATH ,11:25–23:05,Aegean Airlines,"
710 kr. ",https://kayak.dk/book/flight?code=SjCCi0DJRF.OpE0eUgMt9vBDARZyLA7ng.10088.fc50c7b7ecc422d5df97f69832f14a4e&h=871be59a1bdc&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220506-2338
2,63cy,2022-08-15,5t. 20min. ,1 stop BEG ,21:00–03:20+1,Air Serbia,"
1.115 kr. ",https://kayak.dk/book/flight?code=SjCCi0DJRF.9fdXKKS7VFPX5HxgfjXj60KjG3h1fuZ4.15837.c076998df4146205ed63d69597b171db&h=a00e2f1088d0&sub=E-190543529f2&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2,20220506-2338
3,63cy,2022-08-15,7t. 45min. ,1 stop ATH ,11:25–20:10,Aegean Airlines,"
1.060 kr. ",https://kayak.dk/book/flight?code=SjCCi0DJRF.OpE0eUgMt9vBDARZyLA7ng.15061.65260c586646377041ae767efd96ec59&h=be26b088eb7c&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M3,20220506-2338
4,63cy,2022-08-15,12t. 55min. ,1 stop ATH ,11:25–01:20+1,Aegean Airlines,"
710 kr. ",https://kayak.dk/book/flight?code=SjCCi0DJRF.OpE0eUgMt9vBDARZyLA7ng.10088.d3201512cf38f511a988aad4bb0ef490&h=b98d1c28a8a8&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4,20220506-2338
5,63cy,2022-08-15,8t. 45min. ,"2 stop FRA, VIE ",14:55–00:40+1,Lufthansa,"
1.952 kr. ",https://kayak.dk/book/flight?code=SjCCi0DJRF.ZO8uPiOYZs0.27734.a98466f339b83240fe706f8b5e141e1c&h=0dee29654d83&sub=E-1ea799c2b64&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5,20220506-2338
6,63cy,2022-08-15,8t. 20min. ,"2 stop MUC, ATH ",08:45–18:05,Aegean Airlines,"
2.347 kr. ",https://kayak.dk/book/flight?code=SjCCi0DJRF.9lYSaCmVMIfX5HxgfjXj60KjG3h1fuZ4.33336.6f9a84bcf9557d8f66848cba6e20961c&h=3d6d22b58d4f&sub=E-1fb6840c210&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6,20220506-2338
7,63cy,2022-08-15,10t. 25min. ,"2 stop MUC, ATH ",08:45–20:10,Aegean Airlines,"
2.347 kr. ",https://kayak.dk/book/flight?code=SjCCi0DJRF.9lYSaCmVMIfX5HxgfjXj60KjG3h1fuZ4.33336.3237c1bd4bac167ca25d81a1dae7d12a&h=1c1edf1bd0f8&sub=E-1fb6840c210&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7,20220506-2338
8,63cy,2022-08-15,6t. 05min. ,1 stop VIE ,17:35–00:40+1,Austrian Airlines,"
2.815 kr. ",https://kayak.dk/book/flight?code=SjCCi0DJRF.tzkMHu-8yP0.39995.d4c57a62779633e5451a80e4285e05c4&h=39a12e0aa758&sub=E-1fe6633b9da&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M8,20220506-2338
9,63cy,2022-08-15,7t. 40min. ,"2 stop MUC, ATH ",06:10–14:50,"Lufthansa, Aegean Airlines","
2.888 kr. ",https://kayak.dk/book/flight?code=SjCCi0DJRF.G9QQN_lF2QPBDARZyLA7ng.41032.2bf0d657ba2194798dcebf58165d006f&h=142d83a4c3cc&sub=E-1640b1f6c63&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M9,20220506-2338
