,Destination,Out Date,Out Duration,Out Stops,Out Time,Company names,Price,Url,timestamp
0,63cy,2022-07-14,14t. 30min. ,1 stop GDN ,07:50–23:20,Ryanair,"
562 kr. ",https://kayak.dk/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M2&plid=9965447&pid=MyTrip_FSR_da_DK&prv=MyTrip_FSR_da_DK&srch=SfCCG2uMV5&ploc=da_DK&atype=SponsoredResult&prc=562.00&cpnid=7073550&xpExt=&aidExt=&lid=MyTrip_FSR_da_DK-SfCCG2uMV5&qorig=Airport:CPH&octid=&qdest=Airport:LCA&qstart=1657771200000&qend=1657771200000&qtravelers=2&qrooms=0&qow=true&qfcc=e&qdctid=32005&qdac=LCA&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=fEOIOOjpbH4OJ1TGW57whw==&ah=gXMdPvjXug2tcVq5dCVkFmuUk_EJjod2CQ6rvt1LLa8&resid=eed93d51be05754bda2644fc46b4963b&bookid=E-1b66f9f02dc&seekProv=SEAT24&trueProv=SEAT24&fid=&rank=2&stid=&qadults=2&qchild=0&_sid_=R-4pAxR3xhb8ucysMPqNql9-o_T0e5GFPZBieOyKYCddN_laYhf6FCGEEPbuQgTeA&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220506-2140
1,63cy,2022-07-14,4t. 05min. ,direkte ,20:35–01:40+1,Wizz Air,"
974 kr. ",https://kayak.dk/book/flight?code=SfCCG2uMV5.e60g2LFm7BOKtDGeeN0IhQ.13839.68b7273d99eb7f4629f7af3212084aa2&h=385d97b69686&sub=E-130252be3ea&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0,20220506-2140
2,63cy,2022-07-14,14t. 30min. ,1 stop GDN ,07:50–23:20,Ryanair,"
549 kr. ",https://kayak.dk/book/flight?code=SfCCG2uMV5.FTZUJ6SC9iEmFcdAejOqIg.7801.eed93d51be05754bda2644fc46b4963b&h=11be43b1e3b8&_kw_pbranded=true&sub=E-157a97bf000&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220506-2140
3,63cy,2022-07-14,6t. 50min. ,1 stop ATH ,17:30–01:20+1,Aegean Airlines,"
1.275 kr. ",https://kayak.dk/book/flight?code=SfCCG2uMV5.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.18115.f9a4e7a4df5ebeabff0e96c7a73dd6b0&h=bec8c55ef475&sub=E-1a5dd732813&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2,20220506-2140
4,63cy,2022-07-14,5t. 15min. ,1 stop BEG ,21:05–03:20+1,Air Serbia,"
1.676 kr. ",https://kayak.dk/book/flight?code=SfCCG2uMV5.ZheJHZqHLmzKJvcpKN_waA.23806.a780772575626d6ce090f552f0b68ff2&h=a7c037f7b3fc&sub=E-1806b77a48b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M3,20220506-2140
5,63cy,2022-07-14,7t. 30min. ,1 stop BUD ,07:00–15:30,"Norwegian, Wizz Air","
1.367 kr. ",https://kayak.dk/book/flight?code=SfCCG2uMV5.eNCwACMVOeJpd4CyPwn0EI6M4XD8KcmF.19422.cf11cca29e5a61192d19d4dc81cea22e&h=7917dcee6ee6&sub=E-1119a84c966&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4,20220506-2140
6,63cy,2022-07-14,9t. 25min. ,1 stop GDN ,12:55–23:20,"Norwegian, Ryanair","
805 kr. ",https://kayak.dk/book/flight?code=SfCCG2uMV5.eNCwACMVOeJpd4CyPwn0EI6M4XD8KcmF.11431.08779e84f332d75fedf35eacc932756a&h=228a3f206f75&sub=E-1ea73b8c60e&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5,20220506-2140
7,63cy,2022-07-14,10t. 20min. ,"2 stop WAW, ATH ",14:00–01:20+1,"Wizz Air, Aegean Airlines","
1.228 kr. ",https://kayak.dk/book/flight?code=SfCCG2uMV5.47F3EeHCWiIEdn9PX-8xhQ.17448.c64dd051a5c58aa015706f4962358144&h=d6877f004fbf&sub=E-1db6f97c17c&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6,20220506-2140
8,63cy,2022-07-14,9t. 30min. ,"2 stop PRG, ATH ",14:50–01:20+1,"Norwegian, Aegean Airlines","
1.500 kr. ",https://kayak.dk/book/flight?code=SfCCG2uMV5.47F3EeHCWiIEdn9PX-8xhQ.21312.289eb82235177ba91487677b919a33ea&h=8aef4fd6b8ea&sub=E-1c8f00d753e&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7,20220506-2140
9,63cy,2022-07-14,8t. 15min. ,1 stop GDN ,14:05–23:20,"SAS, Ryanair","
1.666 kr. ",https://kayak.dk/book/flight?code=SfCCG2uMV5.eNCwACMVOeJpd4CyPwn0EI6M4XD8KcmF.23671.8ab28628e54318b5a59840e375de4060&h=091f01b6c4de&sub=E-16dacc069bf&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M8,20220506-2140
