,Destination,Out Date,Out Duration,Out Stops,Out Time,Company names,Price,Url,timestamp
0,63cy,2022-07-31,6t. 00min. ,1 stop BEG ,20:20–03:20+1,Air Serbia,"
1.429 kr. ",https://kayak.dk/book/flight?code=SiAig_vrei.aXx7J4vJD0cDzQq2dWkU9A.20303.b805e3ab5d9b2d2957603c588ba747f5&h=bce61ca90524&sub=E-159a5c66abf&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0,20220506-2306
1,63cy,2022-07-31,12t. 40min. ,1 stop BEG ,20:20–10:00+1,Air Serbia,"
1.054 kr. ",https://kayak.dk/book/flight?code=SiAig_vrei.aXx7J4vJD0cDzQq2dWkU9A.14975.22fd3249082780ea88c619d18f931a36&h=a8620403a05b&sub=E-159a5c66abf&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220506-2306
2,63cy,2022-07-31,19t. 50min. ,1 stop AMM ,15:55–12:45+1,Royal Jordanian,"
2.012 kr. ",https://kayak.dk/book/flight?code=SiAig_vrei.aXx7J4vJD0cDzQq2dWkU9A.28586.57dada1f4a505d2f5bb69d399bd3c73b&h=417ff2de0a7f&sub=E-159a5c66abf&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2,20220506-2306
