,Destination,Out Date,Out Duration,Out Stops,Out Time,Company names,Price,Url,timestamp
0,63cy,2022-07-22,21t. 30min. ,1 stop ATH ,11:15–09:45+1,Aegean Airlines,"
1.807 kr. ",https://kayak.dk/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=9965447&pid=MyTrip_FSR_da_DK&prv=MyTrip_FSR_da_DK&srch=ShCCKithUi&ploc=da_DK&atype=SponsoredResult&prc=1807.00&cpnid=7073550&xpExt=&aidExt=&lid=MyTrip_FSR_da_DK-ShCCKithUi&qorig=Airport:CPH&octid=&qdest=Airport:LCA&qstart=1658462400000&qend=1658462400000&qtravelers=2&qrooms=0&qow=true&qfcc=e&qdctid=32005&qdac=LCA&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=fEOIOOjpbH4OJ1TGW57whw==&ah=RWC1qIQxELXHpSLIOh3fd_MjaYEHTtQkuOkQMSiZmgI&resid=f2b54a712e6d7579858f30d6e447c13b&bookid=E-1189fc906d1&seekProv=SEAT24&trueProv=SEAT24&fid=&rank=1&stid=&qadults=2&qchild=0&_sid_=R-421Evi_W1GhnT9PrAWqrc-KVCOFGa2QTcIFuHRBCEWT3dCljR7ufHVi1jbWlzg4&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220506-2240
1,63cy,2022-07-22,5t. 50min. ,1 stop ATH ,11:15–18:05,Aegean Airlines,"
2.012 kr. ",https://kayak.dk/book/flight?code=ShCCKithUi.OpE0eUgMt9vBDARZyLA7ng.28586.a4f7b3ff88ad66abf083b8203d84d772&h=51c3addcb176&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0,20220506-2240
2,63cy,2022-07-22,21t. 20min. ,1 stop ATH ,11:15–09:35+1,Aegean Airlines,"
1.585 kr. ",https://kayak.dk/book/flight?code=ShCCKithUi.9lYSaCmVMIfX5HxgfjXj60KjG3h1fuZ4.22519.c91728ddb814161adfa377b763cfef82&h=2a1af70ed87f&sub=E-1fb6840c210&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220506-2240
3,63cy,2022-07-22,5t. 50min. ,1 stop ZRH ,20:00–02:50+1,SWISS,"
2.509 kr. ",https://kayak.dk/book/flight?code=ShCCKithUi.k__A2aLI5Kc.35648.8738bfb378ebbf66a5628b8d4d651079&h=bb3979ebc31f&sub=E-1f00442dadf&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2,20220506-2240
4,63cy,2022-07-22,7t. 55min. ,1 stop ATH ,11:15–20:10,Aegean Airlines,"
2.324 kr. ",https://kayak.dk/book/flight?code=ShCCKithUi.OpE0eUgMt9vBDARZyLA7ng.33019.80fd2da840b11fc61f0c5b5e76d72d74&h=62af94dde079&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M3,20220506-2240
5,63cy,2022-07-22,6t. 05min. ,1 stop VIE ,17:35–00:40+1,Austrian Airlines,"
2.416 kr. ",https://kayak.dk/book/flight?code=ShCCKithUi.tzkMHu-8yP0.34326.28faf05c8e148f0d514525ced651bdbb&h=204290fe9e35&sub=E-1fe6633b9da&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4,20220506-2240
6,63cy,2022-07-22,10t. 50min. ,1 stop ATH ,11:15–23:05,Aegean Airlines,"
1.618 kr. ",https://kayak.dk/book/flight?code=ShCCKithUi.OpE0eUgMt9vBDARZyLA7ng.22989.8f6384da501457dfc68b74b346102374&h=dd8450d8d562&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5,20220506-2240
7,63cy,2022-07-22,7t. 50min. ,1 stop ZRH ,18:00–02:50+1,SWISS,"
2.509 kr. ",https://kayak.dk/book/flight?code=ShCCKithUi.k__A2aLI5Kc.35648.82d61f3eae3169c2200a55782b4e7af3&h=93da21020ad9&sub=E-1f00442dadf&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6,20220506-2240
8,63cy,2022-07-22,7t. 40min. ,"2 stop MUC, ATH ",06:10–14:50,Aegean Airlines,"
2.704 kr. ",https://kayak.dk/book/flight?code=ShCCKithUi.9lYSaCmVMIfX5HxgfjXj60KjG3h1fuZ4.38410.0e0dd9916b7403b56670a752df404018&h=eb873414ef3e&sub=E-1fb6840c210&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7,20220506-2240
9,63cy,2022-07-22,5t. 45min. ,1 stop VIE ,09:50–16:35,Austrian Airlines,"
3.293 kr. ",https://kayak.dk/book/flight?code=ShCCKithUi.tzkMHu-8yP0.46787.93ebcd0af95dc0731ea9099927c21170&h=34a1e97d0986&sub=E-1fe6633b9da&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M8,20220506-2240
