,Destination,Out Date,Out Duration,Out Stops,Out Time,Company names,Price,Url,timestamp
0,63cy,2022-08-02,6t. 35min. ,1 stop ATH ,12:35–20:10,Aegean Airlines,"
1.060 kr. ",https://kayak.dk/book/flight?code=SiCirgWc1E.OpE0eUgMt9vBDARZyLA7ng.15061.65acbe92d8cce247b82e9c0e2669c225&h=cded56223db5&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0,20220506-2306
1,63cy,2022-08-02,6t. 45min. ,1 stop DUS ,09:30–17:15,Eurowings,"
1.489 kr. ",https://kayak.dk/book/flight?code=SiCirgWc1E.tzK8-y656k0.21156.1e08105e9d33806da16bc55fbcb211ca&h=039f2015ffe6&sub=E026f24d21db&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220506-2306
2,63cy,2022-08-02,11t. 45min. ,1 stop ATH ,12:35–01:20+1,Aegean Airlines,"
875 kr. ",https://kayak.dk/book/flight?code=SiCirgWc1E.OpE0eUgMt9vBDARZyLA7ng.12432.0e6edec79c7ac5056e3f4c980e80012c&h=04c64c5bc3b4&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2,20220506-2306
3,63cy,2022-08-02,6t. 05min. ,1 stop VIE ,17:35–00:40+1,Austrian Airlines,"
2.685 kr. ",https://kayak.dk/book/flight?code=SiCirgWc1E.tzkMHu-8yP0.38148.59620791fceba8f8f34dd9c8aeee4ca8&h=363d884c6f24&sub=E-1fe6633b9da&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M3,20220506-2306
4,63cy,2022-08-02,16t. 35min. ,1 stop VIE ,07:05–00:40+1,Austrian Airlines,"
2.398 kr. ",https://kayak.dk/book/flight?code=SiCirgWc1E.tzkMHu-8yP0.34071.36ac3963016145d50c14813ec7265bf9&h=7bc6c9482a91&sub=E-1fe6633b9da&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4,20220506-2306
5,63cy,2022-08-02,19t. 35min. ,1 stop VIE ,20:00–16:35+1,Austrian Airlines,"
2.383 kr. ",https://kayak.dk/book/flight?code=SiCirgWc1E.tzkMHu-8yP0.33858.d6a40d1e11bb5110136c8d0b789b692e&h=62ae13c25d2d&sub=E-1fe6633b9da&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5,20220506-2306
