,Destination,Out Date,Out Duration,Out Stops,Out Time,Company names,Price,Url,timestamp
0,63cy,2022-08-04,5t. 45min. ,1 stop VIE ,09:50–16:35,Austrian Airlines,"
2.542 kr. ",https://kayak.dk/book/flight?code=SiDiQomqAx.tzkMHu-8yP0.36117.4921d026a62ea8bb11cc36e5da135d64&h=600103052602&sub=E-1fe6633b9da&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0,20220506-2307
1,63cy,2022-08-04,6t. 05min. ,1 stop VIE ,17:35–00:40+1,Austrian Airlines,"
2.815 kr. ",https://kayak.dk/book/flight?code=SiDiQomqAx.tzkMHu-8yP0.39995.71a3bff400d55fa21b8a74bde0f0c2eb&h=678eebbfb09a&sub=E-1fe6633b9da&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220506-2307
2,63cy,2022-08-04,13t. 50min. ,1 stop VIE ,09:50–00:40+1,Austrian Airlines,"
1.981 kr. ",https://kayak.dk/book/flight?code=SiDiQomqAx.tzkMHu-8yP0.28146.0fe7857a2409479dcdf68b2492b59046&h=95776166ea39&sub=E-1fe6633b9da&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2,20220506-2307
