,Destination,Out Date,Out Duration,Out Stops,Out Time,Company names,Price,Url,timestamp
0,63cy,2022-08-05,13t. 05min. ,1 stop ATH ,11:15–01:20+1,Aegean Airlines,"
577 kr. ",https://kayak.dk/book/flight?code=SiCiLqi3Gg.OpE0eUgMt9vBDARZyLA7ng.8198.eca4b82e4584008e764893db60670c37&h=0af971870662&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0,20220506-2307
1,63cy,2022-08-05,13t. 00min. ,1 stop AMS ,06:00–20:00,KLM,"
2.124 kr. ",https://kayak.dk/book/flight?code=SiCiLqi3Gg.i8CATpNSsfE.30178.c9d3d0854cd1005ebb05ee45ae1aad04&h=f27f7f06cd8f&sub=E-18880e8ed14&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220506-2307
2,63cy,2022-08-05,9t. 35min. ,1 stop AMS ,09:25–20:00,KLM,"
2.695 kr. ",https://kayak.dk/book/flight?code=SiCiLqi3Gg.i8CATpNSsfE.38290.c43e236d12e8949d62e34f1684001577&h=e23a4ef467a1&sub=E-18880e8ed14&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2,20220506-2307
