,Destination,Out Date,Out Duration,Out Stops,Out Time,Company names,Price,Url,timestamp
0,63cy,2022-07-28,49t. 45min. ,"2 stop SKG, ATH ",07:00–09:45+2,Aegean Airlines,"
1.473 kr. ",https://kayak.dk/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=9965447&pid=MyTrip_FSR_da_DK&prv=MyTrip_FSR_da_DK&srch=ShACjhyxNP&ploc=da_DK&atype=SponsoredResult&prc=1473.00&cpnid=7073550&xpExt=&aidExt=&lid=MyTrip_FSR_da_DK-ShACjhyxNP&qorig=Airport:CPH&octid=&qdest=Airport:LCA&qstart=1658980800000&qend=1658980800000&qtravelers=2&qrooms=0&qow=true&qfcc=e&qdctid=32005&qdac=LCA&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=fEOIOOjpbH4OJ1TGW57whw==&ah=Fs1EmDBScfFrFZmTRkCyQSXCNPJgmtyWdpOGCh5Qk3Q&resid=6f1db175aa236d2f230b957acc863cf9&bookid=E-1189fc906d1&seekProv=SEAT24&trueProv=SEAT24&fid=&rank=1&stid=&qadults=2&qchild=0&_sid_=R-421Evi_W1GhnT9PrAWqrc-KVCOFGa2QTcIFuHRBCEWT3dCljR7ufHVi1jbWlzg4&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220506-2300
1,63cy,2022-07-28,6t. 50min. ,1 stop ATH ,17:30–01:20+1,Aegean Airlines,"
1.060 kr. ",https://kayak.dk/book/flight?code=ShACjhyxNP.OpE0eUgMt9vBDARZyLA7ng.15061.09708ee25302e881efd096c23d005705&h=53e4c9cfe199&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0,20220506-2300
2,63cy,2022-07-28,5t. 15min. ,1 stop BEG ,21:05–03:20+1,Air Serbia,"
1.115 kr. ",https://kayak.dk/book/flight?code=ShACjhyxNP.b405lNjkTT5Fj024N3_sTg.15837.2ae0ed10d20f0e3d703e2dfb999700ed&h=4cfff571b4d7&sub=E-10e69460bd9&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220506-2300
3,63cy,2022-07-28,7t. 35min. ,1 stop SKG ,07:00–15:35,Aegean Airlines,"
1.423 kr. ",https://kayak.dk/book/flight?code=ShACjhyxNP.OpE0eUgMt9vBDARZyLA7ng.20218.1bc7ad4a07765a5c40d5934f42848659&h=ee34abb19421&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2,20220506-2300
4,63cy,2022-07-28,6t. 50min. ,"2 stop SKG, ATH ",07:00–14:50,Aegean Airlines,"
1.572 kr. ",https://kayak.dk/book/flight?code=ShACjhyxNP.9lYSaCmVMIfX5HxgfjXj60KjG3h1fuZ4.22321.f77708e7f5132f65a46fa95b3662dfae&h=9a5ea0c4a8db&sub=E-1fb6840c210&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M3,20220506-2300
5,63cy,2022-07-28,10t. 05min. ,"2 stop SKG, ATH ",07:00–18:05,Aegean Airlines,"
1.572 kr. ",https://kayak.dk/book/flight?code=ShACjhyxNP.9lYSaCmVMIfX5HxgfjXj60KjG3h1fuZ4.22321.5d228075ba1249d8e64df02b1a42dc5e&h=95d059d471a7&sub=E-1fb6840c210&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4,20220506-2300
6,63cy,2022-07-28,10t. 05min. ,"2 stop SKG, ATH ",07:00–18:05,Aegean Airlines,"
1.572 kr. ",https://kayak.dk/book/flight?code=ShACjhyxNP.9lYSaCmVMIfX5HxgfjXj60KjG3h1fuZ4.22321.ff3b91206ece8c8503e1b80610e2d005&h=35688620ada8&sub=E-1fb6840c210&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5,20220506-2300
7,63cy,2022-07-28,5t. 45min. ,1 stop VIE ,09:50–16:35,Austrian Airlines,"
2.484 kr. ",https://kayak.dk/book/flight?code=ShACjhyxNP.tzkMHu-8yP0.35293.125ddee893f0dd1b2aef1ddb9853249e&h=913d4c7ffe5e&sub=E-1fe6633b9da&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6,20220506-2300
8,63cy,2022-07-28,5t. 40min. ,1 stop ATH ,08:10–14:50,"SAS, Aegean Airlines","
2.610 kr. ",https://kayak.dk/book/flight?code=ShACjhyxNP.fMX_LU8SGCqTYUaMc-KbMA.37083.86f6701c82e2ee6516dbbb0803b1ab75&h=edbc74922cdd&sub=E-14b8eadbcf8&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7,20220506-2300
9,63cy,2022-07-28,5t. 50min. ,1 stop ATH ,18:30–01:20+1,"SAS, Aegean Airlines","
2.610 kr. ",https://kayak.dk/book/flight?code=ShACjhyxNP.fMX_LU8SGCqTYUaMc-KbMA.37083.d004b84aeb83a5e6e37ab0f014ba3f86&h=f0fec7d01308&sub=E-14b8eadbcf8&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M8,20220506-2300
