,Destination,Out Date,Out Duration,Out Stops,Out Time,Company names,Price,Url,timestamp
0,63cy,2022-07-25,5t. 20min. ,1 stop BEG ,21:00–03:20+1,Air Serbia,"
1.115 kr. ",https://kayak.dk/book/flight?code=ShAilJe5f-.b405lNjkTT5Fj024N3_sTg.15837.05e63a879ec33e864d74d28a418f133e&h=834324979cae&sub=E-10e69460bd9&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0,20220506-2249
1,63cy,2022-07-25,10t. 40min. ,1 stop ATH ,11:25–23:05,Aegean Airlines,"
1.060 kr. ",https://kayak.dk/book/flight?code=ShAilJe5f-.OpE0eUgMt9vBDARZyLA7ng.15061.c20ebd2c11ab73e85f926580cc2a4f6f&h=01fd611780af&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220506-2249
2,63cy,2022-07-25,5t. 40min. ,1 stop ATH ,11:25–18:05,Aegean Airlines,"
1.491 kr. ",https://kayak.dk/book/flight?code=ShAilJe5f-.OpE0eUgMt9vBDARZyLA7ng.21184.21abd8f9b9e8d01c136015128cf0f733&h=bd86c33a8644&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2,20220506-2249
3,63cy,2022-07-25,7t. 45min. ,1 stop ATH ,11:25–20:10,Aegean Airlines,"
1.253 kr. ",https://kayak.dk/book/flight?code=ShAilJe5f-.OpE0eUgMt9vBDARZyLA7ng.17803.da59ba066a3127686c715583e238b4e2&h=1f5e779ff2aa&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M3,20220506-2249
4,63cy,2022-07-25,12t. 55min. ,1 stop ATH ,11:25–01:20+1,Aegean Airlines,"
1.060 kr. ",https://kayak.dk/book/flight?code=ShAilJe5f-.OpE0eUgMt9vBDARZyLA7ng.15061.8e791e4dc833bbf2ec07708da9249125&h=bcebe2befa03&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4,20220506-2249
5,63cy,2022-07-25,7t. 40min. ,"2 stop MUC, ATH ",06:10–14:50,Aegean Airlines,"
2.347 kr. ",https://kayak.dk/book/flight?code=ShAilJe5f-.9lYSaCmVMIfX5HxgfjXj60KjG3h1fuZ4.33336.40bb9aae32706b418dbf40fc3f62af13&h=a264f516382b&sub=E-1fb6840c210&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5,20220506-2249
6,63cy,2022-07-25,6t. 05min. ,1 stop VIE ,17:35–00:40+1,Austrian Airlines,"
2.815 kr. ",https://kayak.dk/book/flight?code=ShAilJe5f-.tzkMHu-8yP0.39995.3dc6b5e6499594d6fd0a29b5354a6898&h=0074a62363ad&sub=E-1fe6633b9da&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6,20220506-2249
7,63cy,2022-07-25,9t. 25min. ,"2 stop FRA, ATH ",14:55–01:20+1,Aegean Airlines,"
2.518 kr. ",https://kayak.dk/book/flight?code=ShAilJe5f-.9lYSaCmVMIfX5HxgfjXj60KjG3h1fuZ4.35772.1706a8d0270d898634e37e78d4b8115a&h=2eae7a005c47&sub=E-1fb6840c210&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7,20220506-2249
8,63cy,2022-07-25,8t. 45min. ,"2 stop FRA, VIE ",14:55–00:40+1,Lufthansa,"
2.883 kr. ",https://kayak.dk/book/flight?code=ShAilJe5f-.ZO8uPiOYZs0.40961.c9686f0cbed3deae9e23c4e009f1c1b4&h=6ae28fd69704&sub=E-1ea799c2b64&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M8,20220506-2249
9,63cy,2022-07-25,8t. 30min. ,1 stop VIE ,07:05–16:35,Austrian Airlines,"
3.162 kr. ",https://kayak.dk/book/flight?code=ShAilJe5f-.tzkMHu-8yP0.44925.6869e6318725e17a18759771fa2acc4a&h=e0b093ccf849&sub=E-1fe6633b9da&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M9,20220506-2249
