,Destination,Out Date,Out Duration,Out Stops,Out Time,Company names,Price,Url,timestamp
0,63cy,2022-08-11,6t. 50min. ,1 stop ATH ,17:30–01:20+1,Aegean Airlines,"
710 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.OpE0eUgMt9vBDARZyLA7ng.10088.6268449c93cddb4a91e6b243777a5e83&h=958e3436c342&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0,20220506-2326
1,63cy,2022-08-11,5t. 15min. ,1 stop BEG ,21:05–03:20+1,Air Serbia,"
966 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.b405lNjkTT5Fj024N3_sTg.13723.e30ee7de685834d1a5425a84998335bb&h=d8bff28ef58a&sub=E-10e69460bd9&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220506-2326
2,63cy,2022-08-11,6t. 45min. ,1 stop ATH ,08:10–15:55,"SAS, TUS Airways","
1.344 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.e60g2LFm7BOKtDGeeN0IhQ.19089.bee0ab1092cfb94f8c85ac0564a37374&h=5931efcd996a&sub=E-130252be3ea&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2,20220506-2326
3,63cy,2022-08-11,15t. 05min. ,1 stop ATH ,17:30–09:35+1,Aegean Airlines,"
710 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.OpE0eUgMt9vBDARZyLA7ng.10088.2b62bebf0ba2b10491077c9138c2d4b2&h=61e50e24749d&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M3,20220506-2326
4,63cy,2022-08-11,13t. 40min. ,1 stop ZRH ,20:00–10:40+1,SWISS,"
960 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.k__A2aLI5Kc.13640.f24832fa12252030ef1581e9d65aba19&h=5791385ecdfe&sub=E-1f00442dadf&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4,20220506-2326
5,63cy,2022-08-11,10t. 05min. ,"2 stop SKG, ATH ",07:00–18:05,Aegean Airlines,"
1.572 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.9lYSaCmVMIfX5HxgfjXj60KjG3h1fuZ4.22321.5ab2a7aa7a9bee759aaeabca9bd9b2c3&h=9721659a8342&sub=E-1fb6840c210&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5,20220506-2326
6,63cy,2022-08-11,8t. 45min. ,"2 stop FRA, VIE ",14:55–00:40+1,Lufthansa,"
1.624 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.ZO8uPiOYZs0.23074.040440c93ab55245cb34da499630fea4&h=65d95aaeda71&sub=E-1ea799c2b64&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6,20220506-2326
7,63cy,2022-08-11,7t. 35min. ,1 stop SKG ,07:00–15:35,Aegean Airlines,"
1.855 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.OpE0eUgMt9vBDARZyLA7ng.26356.52163f40f89c7b21c5af9e2399f3759c&h=abd7f5767adb&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7,20220506-2326
8,63cy,2022-08-11,20t. 20min. ,1 stop ATH ,17:30–14:50+1,Aegean Airlines,"
1.087 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.9lYSaCmVMIfX5HxgfjXj60KjG3h1fuZ4.15436.1a9fc1011e8095f3af8f028c6fa72484&h=377fdd64ddb2&sub=E-1fb6840c210&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M8,20220506-2326
9,63cy,2022-08-11,15t. 40min. ,1 stop ZRH ,18:00–10:40+1,SWISS,"
1.377 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.k__A2aLI5Kc.19565.6481f2f5f7e0958374f467efbca8b398&h=8553f1f96f2d&sub=E-1f00442dadf&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M9,20220506-2326
10,63cy,2022-08-11,18t. 50min. ,1 stop ZRH ,14:50–10:40+1,SWISS,"
1.427 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.oRBcnhZp0hVFj024N3_sTg.20275.cd17dce3099607af6e013fb45b4206e5&h=0834366f634d&sub=E-1674cc5ab77&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M10,20220506-2326
11,63cy,2022-08-11,12t. 10min. ,"2 stop SKG, ATH ",07:00–20:10,Aegean Airlines,"
1.572 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.9lYSaCmVMIfX5HxgfjXj60KjG3h1fuZ4.22321.6c35b088f22951f2190220e237310815&h=c744f45a50af&sub=E-1fb6840c210&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M11,20220506-2326
12,63cy,2022-08-11,17t. 20min. ,"2 stop SKG, ATH ",07:00–01:20+1,Aegean Airlines,"
1.572 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.9lYSaCmVMIfX5HxgfjXj60KjG3h1fuZ4.22321.6d962f74f1f126dd1bcb9fd0d6cd8665&h=abcc35bb0523&sub=E-1fb6840c210&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M12,20220506-2326
13,63cy,2022-08-11,17t. 20min. ,"2 stop SKG, ATH ",07:00–01:20+1,Aegean Airlines,"
1.572 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.9lYSaCmVMIfX5HxgfjXj60KjG3h1fuZ4.22321.55d8a3539c5076ce620440991395554c&h=ba48df4a6841&sub=E-1fb6840c210&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M13,20220506-2326
14,63cy,2022-08-11,17t. 20min. ,"2 stop SKG, ATH ",07:00–01:20+1,Aegean Airlines,"
1.572 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.9lYSaCmVMIfX5HxgfjXj60KjG3h1fuZ4.22321.afd4446784e2ab34c8f7caa92537f767&h=fde377215e92&sub=E-1fb6840c210&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M14,20220506-2326
15,63cy,2022-08-11,8t. 45min. ,"2 stop FRA, VIE ",14:55–00:40+1,Lufthansa,"
1.624 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.ZO8uPiOYZs0.23074.040440c93ab55245cb34da499630fea4&h=65d95aaeda71&sub=E-1ea799c2b64&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M16,20220506-2326
16,63cy,2022-08-11,7t. 35min. ,1 stop SKG ,07:00–15:35,Aegean Airlines,"
1.735 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.tb4DAgHpn3sEdn9PX-8xhQ.24644.52163f40f89c7b21c5af9e2399f3759c&h=5a5cbdb4811c&sub=E-1189fc906d1&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M17,20220506-2326
17,63cy,2022-08-11,5t. 45min. ,1 stop VIE ,09:50–16:35,Austrian Airlines,"
2.380 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.e60g2LFm7BOKtDGeeN0IhQ.33808.9b1fd06440e22c36de1234366728b8e1&h=9620f518be5c&sub=E-1008006e5bd&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M18,20220506-2326
18,63cy,2022-08-11,6t. 05min. ,1 stop FRA ,19:15–02:20+1,"SAS, Lufthansa","
2.545 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.7e2QikHpsTMDzQq2dWkU9A.36153.9da9c5cfca89e68241edcf776d0d0bc4&h=95be029352de&sub=E-1b967d7fc76&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M19,20220506-2326
19,63cy,2022-08-11,14t. 30min. ,1 stop GDN ,07:50–23:20,Ryanair,"
501 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.FTZUJ6SC9iEmFcdAejOqIg.7111.941cc1c3d1785538f13a88f639c6d3f0&h=0886c81e0a13&_kw_pbranded=true&sub=E-157a97bf000&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M20,20220506-2326
20,63cy,2022-08-11,15t. 05min. ,1 stop ATH ,17:30–09:35+1,Aegean Airlines,"
641 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.9101.2b62bebf0ba2b10491077c9138c2d4b2&h=6692657cf552&sub=E-1a5dd732813&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M21,20220506-2326
21,63cy,2022-08-11,20t. 30min. ,1 stop WAW ,14:00–11:30+1,Wizz Air,"
652 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.47F3EeHCWiIEdn9PX-8xhQ.9257.61cae3c4830d9ea4d4fa6aba12a1931b&h=af0cdbcdcfc0&sub=E-1db6f97c17c&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M22,20220506-2326
22,63cy,2022-08-11,13t. 40min. ,1 stop ZRH ,20:00–10:40+1,SWISS,"
870 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.glFHOAdR1PwEdn9PX-8xhQ.12361.f24832fa12252030ef1581e9d65aba19&h=9184de169ad4&sub=E-1fddf39b2f8&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M23,20220506-2326
23,63cy,2022-08-11,12t. 40min. ,"2 stop BGY, WMI ",08:25–22:05,Ryanair,"
926 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.eNCwACMVOeJpd4CyPwn0EI6M4XD8KcmF.13150.3478306b43c881bbfe985f229c89d771&h=ae903abaf42c&sub=E-15fb055c4bb&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M24,20220506-2326
24,63cy,2022-08-11,20t. 20min. ,1 stop ATH ,17:30–14:50+1,Aegean Airlines,"
936 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.0Cx9insxRz2lB60_7nlgXQ.13292.1a9fc1011e8095f3af8f028c6fa72484&h=87873a4ba217&sub=E-177ddff7a85&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M25,20220506-2326
25,63cy,2022-08-11,15t. 10min. ,"2 stop JTR, ATH ",23:50–16:00+1,Flere flyselskaber,"
1.040 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.eNCwACMVOeJpd4CyPwn0EI6M4XD8KcmF.14769.879cfe0ef32128b77827e53d130bcdae&h=caafdf8438a3&sub=E-1119a84c966&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M26,20220506-2326
26,63cy,2022-08-11,14t. 05min. ,1 stop WAW-WMI ,07:00–22:05,"LOT, Ryanair","
1.079 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.FTZUJ6SC9iEmFcdAejOqIg.15324.c07e864a9ebe2e3af8d71c94a19d30e0&h=f4c7cd74b053&_kw_pbranded=true&sub=E-1622230267f&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M27,20220506-2326
27,63cy,2022-08-11,13t. 50min. ,"2 stop STN, WMI ",07:15–22:05,Ryanair,"
1.098 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.eNCwACMVOeJpd4CyPwn0EI6M4XD8KcmF.15593.549b5c59d7cc9d32e058fedc587a2e9a&h=add7112bda2a&sub=E-15fb055c4bb&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M28,20220506-2326
28,63cy,2022-08-11,10t. 30min. ,1 stop CHQ ,22:45–10:15+1,"Norwegian, Ryanair","
1.106 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.eNCwACMVOeJpd4CyPwn0EI6M4XD8KcmF.15707.c98911cd38f13f652ae33de4881d36a3&h=65e84448d2fb&sub=E-1ea73b8c60e&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M29,20220506-2326
29,63cy,2022-08-11,10t. 45min. ,1 stop OTP ,21:40–09:25+1,"Wizz Air, Blue Air","
1.116 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.eNCwACMVOeJpd4CyPwn0EI6M4XD8KcmF.15849.9ee6b35347b3fd20b9244bfdaf119704&h=12f8e9279733&sub=E-15e20529e1b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M30,20220506-2326
30,63cy,2022-08-11,15t. 20min. ,"2 stop WAW, GDN ",07:00–23:20,"LOT, Ryanair","
1.125 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.eNCwACMVOeJpd4CyPwn0EI6M4XD8KcmF.15984.e05e4ef30ae7116ffb8cb68ca787d225&h=4284c7b73f6a&sub=E-16dacc069bf&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M31,20220506-2326
31,63cy,2022-08-11,15t. 20min. ,"2 stop WAW, GDN ",07:00–23:20,"LOT, Ryanair","
1.125 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.eNCwACMVOeJpd4CyPwn0EI6M4XD8KcmF.15984.7850dd316a3f8361b06335ce82015581&h=764ad45889ba&sub=E-16dacc069bf&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M32,20220506-2326
32,63cy,2022-08-11,11t. 10min. ,1 stop WAW-WMI ,09:55–22:05,"LOT, Ryanair","
1.146 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.FTZUJ6SC9iEmFcdAejOqIg.16283.f4ac6157fe8335db3ba807e16d264c0c&h=4c52a306dbf6&_kw_pbranded=true&sub=E-1622230267f&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M33,20220506-2326
33,63cy,2022-08-11,15t. 20min. ,"2 stop ARN, SKG ",19:00–11:20+1,"Norwegian, Wizz Air","
1.150 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.eNCwACMVOeJpd4CyPwn0EI6M4XD8KcmF.16332.eff8fe293ece67c03660274fd9b6b851&h=96576a9b3833&sub=E-1e269a7e161&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M34,20220506-2326
34,63cy,2022-08-11,12t. 25min. ,"2 stop WAW, GDN ",09:55–23:20,"LOT, Ryanair","
1.192 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.FTZUJ6SC9iEmFcdAejOqIg.16929.97a51f9b1aa629161e55140158fc07e9&h=ee4f5c7765b3&_kw_pbranded=true&sub=E-1622230267f&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M35,20220506-2326
35,63cy,2022-08-11,13t. 30min. ,"2 stop BGY, OTP ",08:25–22:55,"Ryanair, Blue Air","
1.201 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.eNCwACMVOeJpd4CyPwn0EI6M4XD8KcmF.17064.bad5b3d81158cbe75d3d30bd51b827f2&h=07acda8098be&sub=E-1bb60be310f&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M36,20220506-2326
36,63cy,2022-08-11,16t. 35min. ,"2 stop BER, SKG ",21:20–14:55+1,"easyJet, Ryanair","
1.208 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.FTZUJ6SC9iEmFcdAejOqIg.17163.151faa8543c7fd97ea7278f769f3163c&h=bef8a55c0e83&_kw_pbranded=true&sub=E-134d4d5c2c1&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M37,20220506-2326
37,63cy,2022-08-11,10t. 20min. ,1 stop VIE ,07:05–18:25,"Austrian Airlines, Ryanair","
1.216 kr. ",https://kayak.dk/book/flight?code=SiDigQSiaZ.eNCwACMVOeJpd4CyPwn0EI6M4XD8KcmF.17270.5bcc3b4c5492fef9c8b6954def849839&h=8733e7cce710&sub=E-13509e1c411&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M38,20220506-2326
