,Destination,Out Date,Out Duration,Out Stops,Out Time,Company names,Price,Url,timestamp
0,63cy,2022-08-09,6t. 35min. ,1 stop ATH ,12:35–20:10,Aegean Airlines,"
1.491 kr. ",https://kayak.dk/book/flight?code=SiCCaT1vzN.OpE0eUgMt9vBDARZyLA7ng.21184.97db735b418b6264a55689b6cf3e06a0&h=c1cc75e2b979&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0,20220506-2319
1,63cy,2022-08-09,11t. 45min. ,1 stop ATH ,12:35–01:20+1,Aegean Airlines,"
875 kr. ",https://kayak.dk/book/flight?code=SiCCaT1vzN.OpE0eUgMt9vBDARZyLA7ng.12432.46e7e8160b2cc4d88cbcf4456927a277&h=8f468ab8d5a6&sub=E-198faba617b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220506-2319
2,63cy,2022-08-09,6t. 25min. ,1 stop ATH ,08:10–15:35,"SAS, TUS Airways","
1.339 kr. ",https://kayak.dk/book/flight?code=SiCCaT1vzN.e60g2LFm7BOKtDGeeN0IhQ.19018.0a98e7622460472ba402affaf045a8a7&h=b99fe7ad4182&sub=E-130252be3ea&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2,20220506-2319
3,63cy,2022-08-09,7t. 40min. ,1 stop HEL ,12:25–21:05,Finnair,"
1.520 kr. ",https://kayak.dk/book/flight?code=SiCCaT1vzN._EXVo5H1FyPBDARZyLA7ng.21596.00a943916d8ad16a801fdb2ac333fbd2&h=23a6c2cbb2e4&sub=E-197c53de357&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M3,20220506-2319
4,63cy,2022-08-09,6t. 45min. ,1 stop DUS ,09:30–17:15,Eurowings,"
1.709 kr. ",https://kayak.dk/book/flight?code=SiCCaT1vzN.tzK8-y656k0.24282.2d99e6e251e7f16f51d13c4d6ecd8f6d&h=cc35d95764cb&sub=E026f24d21db&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4,20220506-2319
5,63cy,2022-08-09,6t. 05min. ,1 stop VIE ,17:35–00:40+1,Austrian Airlines,"
1.981 kr. ",https://kayak.dk/book/flight?code=SiCCaT1vzN.tzkMHu-8yP0.28146.71eed12dc5fb41bdd7a4b9f617ff11b9&h=a1b7f793ff7b&sub=E-1fe6633b9da&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5,20220506-2319
6,63cy,2022-08-09,6t. 50min. ,1 stop AMM ,15:55–23:45,Royal Jordanian,"
2.027 kr. ",https://kayak.dk/book/flight?code=SiCCaT1vzN.fMX_LU8SGCqTYUaMc-KbMA.28800.b50cd01b745efa0f524ecf615ad01840&h=8bc1fe4a014d&sub=E-14b8eadbcf8&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6,20220506-2319
7,63cy,2022-08-09,11t. 20min. ,1 stop HEL ,08:45–21:05,Finnair,"
1.520 kr. ",https://kayak.dk/book/flight?code=SiCCaT1vzN._EXVo5H1FyPBDARZyLA7ng.21596.51fe9ec979ced26812c5c5ae166bfb7d&h=c2321e3326a3&sub=E-197c53de357&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7,20220506-2319
8,63cy,2022-08-09,8t. 45min. ,"2 stop FRA, VIE ",14:55–00:40+1,Lufthansa,"
1.952 kr. ",https://kayak.dk/book/flight?code=SiCCaT1vzN.ZO8uPiOYZs0.27734.c37cb204c30b04f8965bf2b7ab8fa808&h=ab402d654c49&sub=E-1ea799c2b64&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M8,20220506-2319
9,63cy,2022-08-09,9t. 25min. ,"2 stop FRA, ATH ",14:55–01:20+1,Aegean Airlines,"
2.087 kr. ",https://kayak.dk/book/flight?code=SiCCaT1vzN.9lYSaCmVMIfX5HxgfjXj60KjG3h1fuZ4.29641.ae192a67ec0373c2c1e3f0d97b1e7566&h=ce7f3e2bd1d5&sub=E-1fb6840c210&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M9,20220506-2319
