,Destination,Out Date,Out Duration,Out Stops,Out Time,Company names,Price,Url,timestamp
0,63cy,2022-07-27,15t. 15min. ,1 stop ATH ,17:30–09:45+1,Aegean Airlines,"
1.182 kr. ",https://kayak.dk/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=9965447&pid=MyTrip_FSR_da_DK&prv=MyTrip_FSR_da_DK&srch=ShBiYu_Og3&ploc=da_DK&atype=SponsoredResult&prc=1182.00&cpnid=7073550&xpExt=&aidExt=&lid=MyTrip_FSR_da_DK-ShBiYu_Og3&qorig=Airport:CPH&octid=&qdest=Airport:LCA&qstart=1658894400000&qend=1658894400000&qtravelers=2&qrooms=0&qow=true&qfcc=e&qdctid=32005&qdac=LCA&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=fEOIOOjpbH4OJ1TGW57whw==&ah=dL6T$9N5hTJ0p3jAn2KKpb4B5AnMXyohqu4vhN4Lolw&resid=d20b4dea98115e18ff672b678a3e7ffd&bookid=E-1189fc906d1&seekProv=SEAT24&trueProv=SEAT24&fid=&rank=1&stid=&qadults=2&qchild=0&_sid_=R-421Evi_W1GhnT9PrAWqrc-KVCOFGa2QTcIFuHRBCEWT3dCljR7ufHVi1jbWlzg4&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220506-2256
1,63cy,2022-07-27,6t. 50min. ,1 stop ATH ,17:30–01:20+1,Aegean Airlines,"
1.054 kr. ",https://kayak.dk/book/flight?code=ShBiYu_Og3.HceeID8kIYIMlOqRgOKZ7A.14975.8296378686cd2acff4cb8c9fc7b1823c&h=6fdd57a9df68&sub=E-1a6db5808ef&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0,20220506-2256
2,63cy,2022-07-27,15t. 05min. ,1 stop ATH ,17:30–09:35+1,Aegean Airlines,"
1.054 kr. ",https://kayak.dk/book/flight?code=ShBiYu_Og3.HceeID8kIYIMlOqRgOKZ7A.14975.f353e90b36bbbcd5bf1c033184ff1623&h=eddb4dc4fa98&sub=E-1a6db5808ef&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220506-2256
3,63cy,2022-07-27,8t. 20min. ,"2 stop MUC, ATH ",08:45–18:05,Aegean Airlines,"
1.879 kr. ",https://kayak.dk/book/flight?code=ShBiYu_Og3.HceeID8kIYIMlOqRgOKZ7A.26690.11a0ab45a4a3649531deba610b859263&h=2378f8806ef9&sub=E-1a6db5808ef&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2,20220506-2256
4,63cy,2022-07-27,5t. 40min. ,1 stop ATH ,08:10–14:50,"SAS, Aegean Airlines","
2.504 kr. ",https://kayak.dk/book/flight?code=ShBiYu_Og3.HceeID8kIYIMlOqRgOKZ7A.35570.c75150da11de371d7a81a33e3f5a6634&h=24b2d3dc2519&sub=E-1a6db5808ef&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M3,20220506-2256
5,63cy,2022-07-27,15t. 15min. ,1 stop ATH ,17:30–09:45+1,Aegean Airlines,"
1.121 kr. ",https://kayak.dk/book/flight?code=ShBiYu_Og3.ZheJHZqHLmzKJvcpKN_waA.15919.d20b4dea98115e18ff672b678a3e7ffd&h=4edf6a0d3b5e&sub=E-1806b77a48b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4,20220506-2256
6,63cy,2022-07-27,15t. 15min. ,1 stop RIX ,19:30–11:45+1,airBaltic,"
1.131 kr. ",https://kayak.dk/book/flight?code=ShBiYu_Og3.LA19DP6M3aQ.16067.7f48af19ff37786f6f9b81db20f0a2a4&h=ea95e63892e7&sub=E-12945ff2ad7&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5,20220506-2256
7,63cy,2022-07-27,10t. 55min. ,"2 stop MUC, ATH ",06:10–18:05,Aegean Airlines,"
1.879 kr. ",https://kayak.dk/book/flight?code=ShBiYu_Og3.HceeID8kIYIMlOqRgOKZ7A.26690.cb263de521707bf8cbcdb314e13a4943&h=7110e8f7f53d&sub=E-1a6db5808ef&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6,20220506-2256
8,63cy,2022-07-27,11t. 35min. ,"2 stop MUC, ATH ",12:45–01:20+1,Aegean Airlines,"
1.879 kr. ",https://kayak.dk/book/flight?code=ShBiYu_Og3.HceeID8kIYIMlOqRgOKZ7A.26690.37bd58201383c6d1c4d79cd95b311d71&h=a876324e36ad&sub=E-1a6db5808ef&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7,20220506-2256
9,63cy,2022-07-27,8t. 45min. ,"2 stop FRA, VIE ",14:55–00:40+1,Lufthansa,"
1.952 kr. ",https://kayak.dk/book/flight?code=ShBiYu_Og3.ZO8uPiOYZs0.27734.7f52c275134b64c83d4f2445a77ec3ac&h=cb8af8d88cb5&sub=E-1ea799c2b64&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M8,20220506-2256
