,Destination,Out Date,Out Duration,Out Stops,Out Time,Company names,Price,Url,timestamp
0,94cy,14 juli,3t. 10min. ,direkte ,17:30–21:40,Aegean Airlines,"
1.105 kr. ",https://kayak.dk/book/flight?code=LPHiEvhQsj.Xn8KWCj2yGDPlYb-lPvZjw.15662.0d13f24910d089c9ecb8a24e15e80ba2&h=1c77dc42bd50&sub=E-11d988e3c82&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0,20220505-1359
1,94cy,14 juli,3t. 15min. ,direkte ,18:30–22:45,SAS,"
1.590 kr. ",https://kayak.dk/book/flight?code=LPHiEvhQsj.gUEDyXbJuqWKtDGeeN0IhQ.22545.84f35a31f736183f2c9927d05ddb2342&h=dc782f39eb0d&sub=E-112f02eec59&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220505-1359
2,94cy,14 juli,3t. 15min. ,direkte ,08:10–12:25,SAS,"
2.340 kr. ",https://kayak.dk/book/flight?code=LPHiEvhQsj.gUEDyXbJuqWKtDGeeN0IhQ.33179.455fa625f98cd5b1c13b1c1c0140a34f&h=66d0f8ad6f56&sub=E-112f02eec59&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2,20220505-1359
3,94cy,14 juli,3t. 15min. ,direkte ,10:15–14:30,SAS,"
2.419 kr. ",https://kayak.dk/book/flight?code=LPHiEvhQsj.xZgymHF4sNLX5HxgfjXj60KjG3h1fuZ4.34300.f48ef8c120a008701fcb51d2e5e55672&h=41da91f318f8&sub=E-1f710e9a582&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M3,20220505-1359
4,94cy,14 juli,6t. 45min. ,1 stop IST ,18:55–02:40+1,Turkish Airlines,"
1.984 kr. ",https://kayak.dk/book/flight?code=LPHiEvhQsj.gUEDyXbJuqWKtDGeeN0IhQ.28132.8a6ca63f3c40f892eeedad3ad848c82f&h=14a990ad8805&sub=E-112f02eec59&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4,20220505-1359
5,94cy,14 juli,6t. 40min. ,"2 stop ZAG, DBV ",11:20–19:00,Croatia Airlines,"
2.149 kr. ",https://kayak.dk/book/flight?code=LPHiEvhQsj.DA1ziEbLMfTX5HxgfjXj60KjG3h1fuZ4.30471.197bfd630cca5b58a407113ded2ae841&h=7fe671f3dc85&sub=E-106858522bb&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5,20220505-1359
6,94cy,14 juli,6t. 40min. ,"2 stop ZAG, DBV ",11:20–19:00,Croatia Airlines,"
2.242 kr. ",https://kayak.dk/book/flight?code=LPHiEvhQsj.DA1ziEbLMfTX5HxgfjXj60KjG3h1fuZ4.31790.4b5c9579ae6a65d822d903c3431b929b&h=b30d33047b71&sub=E-106858522bb&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6,20220505-1359
7,94cy,14 juli,6t. 35min. ,1 stop VIE ,17:35–01:10+1,Austrian Airlines,"
2.318 kr. ",https://kayak.dk/book/flight?code=LPHiEvhQsj.tzkMHu-8yP0.32867.ba17705c0a8d486ec07c69bceb400cce&h=fe95ab51702b&sub=E-1fe6633b9da&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7,20220505-1359
8,94cy,14 juli,5t. 15min. ,1 stop AMS ,19:10–01:25+1,KLM,"
2.323 kr. ",https://kayak.dk/book/flight?code=LPHiEvhQsj.i8CATpNSsfE.32938.1a21f59fb5d3ab74bb555f326b0227bb&h=69f4ed63997a&sub=E-18880e8ed14&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M8,20220505-1359
9,94cy,14 juli,6t. 15min. ,1 stop FRA ,14:55–22:10,Aegean Airlines,"
2.332 kr. ",https://kayak.dk/book/flight?code=LPHiEvhQsj.Xn8KWCj2yGDPlYb-lPvZjw.33065.6717a0e746b5aa0efe26bf9498efbdc8&h=3eb38f422655&sub=E-11d988e3c82&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M9,20220505-1359
10,94cy,14 juli,4t. 40min. ,1 stop VIE ,07:05–12:45,Austrian Airlines,"
2.562 kr. ",https://kayak.dk/book/flight?code=LPHiEvhQsj.tzkMHu-8yP0.36327.eca3fc88b1b96e36d5a4cdc152a865b7&h=ccc19b950575&sub=E-1fe6633b9da&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M10,20220505-1359
11,94cy,14 juli,5t. 10min. ,1 stop MUC ,06:10–12:20,Lufthansa,"
2.760 kr. ",https://kayak.dk/book/flight?code=LPHiEvhQsj.ZO8uPiOYZs0.39135.0d2018be973b447207efcc1bb17d032f&h=a5f7169c8d45&sub=E-1c9d07b710e&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M11,20220505-1359
12,94cy,14 juli,6t. 30min. ,1 stop CDG ,11:55–19:25,Air France,"
3.059 kr. ",https://kayak.dk/book/flight?code=LPHiEvhQsj.scU5lTLQcTc.43374.973cc6a06952f3cafdeafedcd0b570a7&h=d7612146b791&sub=E-16988123a35&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M12,20220505-1359
13,94cy,14 juli,6t. 25min. ,1 stop ZRH ,09:25–16:50,SWISS,"
3.215 kr. ",https://kayak.dk/book/flight?code=LPHiEvhQsj.gUEDyXbJuqWKtDGeeN0IhQ.45586.bc30f3a17c1472859ccb2870d566d0fb&h=d3eccdc556bf&sub=E-112f02eec59&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M13,20220505-1359
14,94cy,14 juli,5t. 10min. ,1 stop MUC ,06:10–12:20,Aegean Airlines,"
3.221 kr. ",https://kayak.dk/book/flight?code=LPHiEvhQsj.Xn8KWCj2yGDPlYb-lPvZjw.45669.d2592a59034c8ec2c6d0691fc598bee0&h=897064eb6bc4&sub=E-11d988e3c82&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M14,20220505-1359
15,94cy,14 juli,5t. 00min. ,1 stop MUC ,08:45–14:45,Aegean Airlines,"
3.118 kr. ",https://kayak.dk/book/flight?code=LPHiEvhQsj.aXx7J4vJD0cDzQq2dWkU9A.44211.fc6a9ef5b086756de835937ad72180ad&h=6b893d7951a2&sub=E-159a5c66abf&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M15,20220505-1359
