,Destination,Out Date,Out Duration,Out Stops,Out Time,Company names,Price,Url,timestamp
0,63cy,14 juli,14t. 30min. ,1 stop GDN ,07:50–23:20,Ryanair,"
541 kr. ",https://kayak.dk/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M2&plid=9965447&pid=MyTrip_FSR_da_DK&prv=MyTrip_FSR_da_DK&srch=LPFiN81zF6&ploc=da_DK&atype=SponsoredResult&prc=541.00&cpnid=7073550&xpExt=&aidExt=&lid=MyTrip_FSR_da_DK-LPFiN81zF6&qorig=Airport:CPH&octid=&qdest=Airport:LCA&qstart=1657771200000&qend=1657771200000&qtravelers=2&qrooms=0&qow=true&qfcc=e&qdctid=32005&qdac=LCA&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=fEOIOOjpbH4OJ1TGW57whw==&ah=culygAi$0zpXyzBIMVihn9YZYOus2StAEx_W9$uWlwA&resid=eed93d51be05754bda2644fc46b4963b&bookid=E-1b66f9f02dc&seekProv=SEAT24&trueProv=SEAT24&fid=&rank=2&stid=&qadults=2&qchild=0&_sid_=R-5KZa1AsAtrfAuotpjayN_-GcmZY1gOOXZGOX_Mt5_Q8dYvjj1HaOEpLf423yFmH&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220505-1334
1,63cy,14 juli,4t. 05min. ,direkte ,20:35–01:40+1,Wizz Air,"
982 kr. ",https://kayak.dk/book/flight?code=LPFiN81zF6.jw13uSv2aSsWFqH_7WKiog.13924.68b7273d99eb7f4629f7af3212084aa2&h=a5faa96e5618&sub=E-1c851049c52&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0,20220505-1334
2,63cy,14 juli,14t. 30min. ,1 stop GDN ,07:50–23:20,Ryanair,"
534 kr. ",https://kayak.dk/book/flight?code=LPFiN81zF6.eNCwACMVOeJpd4CyPwn0EI6M4XD8KcmF.7565.eed93d51be05754bda2644fc46b4963b&h=744267f7d5c2&sub=E-1bb60be310f&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220505-1334
3,63cy,14 juli,6t. 50min. ,1 stop ATH ,17:30–01:20+1,Aegean Airlines,"
1.281 kr. ",https://kayak.dk/book/flight?code=LPFiN81zF6.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.18164.f9a4e7a4df5ebeabff0e96c7a73dd6b0&h=8da70b2a4b9b&sub=E-1a5dd732813&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2,20220505-1334
4,63cy,14 juli,5t. 15min. ,1 stop BEG ,21:05–03:20+1,Air Serbia,"
1.715 kr. ",https://kayak.dk/book/flight?code=LPFiN81zF6.ZheJHZqHLmzKJvcpKN_waA.24306.a780772575626d6ce090f552f0b68ff2&h=76f9ad12783b&sub=E-1806b77a48b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M3,20220505-1334
5,63cy,14 juli,9t. 25min. ,1 stop GDN ,12:55–23:20,"Norwegian, Ryanair","
751 kr. ",https://kayak.dk/book/flight?code=LPFiN81zF6.eNCwACMVOeJpd4CyPwn0EI6M4XD8KcmF.10642.1f2c3c43f998873cef2052c7751c68f5&h=1af53dd63fa9&sub=E-1ea73b8c60e&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4,20220505-1334
6,63cy,14 juli,7t. 30min. ,1 stop BUD ,07:00–15:30,"Norwegian, Wizz Air","
1.361 kr. ",https://kayak.dk/book/flight?code=LPFiN81zF6.eNCwACMVOeJpd4CyPwn0EI6M4XD8KcmF.19291.6c1513a55d5fa3d011558197a56e66e7&h=af8057fb4b39&sub=E-1119a84c966&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5,20220505-1334
7,63cy,14 juli,10t. 20min. ,"2 stop WAW, ATH ",14:00–01:20+1,"Wizz Air, Aegean Airlines","
1.206 kr. ",https://kayak.dk/book/flight?code=LPFiN81zF6.47F3EeHCWiIEdn9PX-8xhQ.17100.c64dd051a5c58aa015706f4962358144&h=d4728ef958ca&sub=E-1db6f97c17c&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6,20220505-1334
8,63cy,14 juli,9t. 45min. ,"2 stop DUS, WRO ",09:35–20:20,"Eurowings, Ryanair","
1.424 kr. ",https://kayak.dk/book/flight?code=LPFiN81zF6.eNCwACMVOeJpd4CyPwn0EI6M4XD8KcmF.20184.d26ca72c440bfa9cec47a64e2a4138fc&h=9c430e3e5c6d&sub=E-16dacc069bf&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7,20220505-1334
9,63cy,14 juli,8t. 15min. ,1 stop GDN ,14:05–23:20,"SAS, Ryanair","
1.485 kr. ",https://kayak.dk/book/flight?code=LPFiN81zF6.FTZUJ6SC9iEmFcdAejOqIg.21056.8ab28628e54318b5a59840e375de4060&h=bdb876857745&_kw_pbranded=true&sub=E-1622230267f&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M8,20220505-1334
