,Destination,Out Date,Out Duration,Out Stops,Out Time,Company names,Price,Url,timestamp
0,225cy,14 juli,3t. 15min. ,direkte ,21:10–00:25+1,Ryanair,"
644 kr. ",https://kayak.dk/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=5252610&pid=TravellinkBranded_FSR_da_DK&prv=TravellinkBranded_FSR_da_DK&srch=LPEib3TIoU&ploc=da_DK&atype=SponsoredResult&prc=644.00&cpnid=7068600&xpExt=&aidExt=&lid=TravellinkBranded_FSR_da_DK-LPEib3TIoU&qorig=Airport:CPH&octid=&qdest=Airport:MAD&qstart=1657771200000&qend=1657771200000&qtravelers=2&qrooms=0&qow=true&qfcc=e&qdctid=32213&qdac=MAD&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=kM5Rp7DLydurTXNTDsiyRg==&ah=5PesaYMKDB_rNxwtc6xSROWLNQ6xEXluYM19V6pmrlI&resid=ff486f54ff8d1c62ae619872c5292498&bookid=E-141a83aab68&seekProv=TRAVELLINK&trueProv=TRAVELLINK&fid=&rank=1&stid=&qadults=2&qchild=0&_sid_=R-5LMDSaAGwqFM_kn704KHi-3lrNDjiIOhv6aijehjsY3ocVhys81_oM6okPCj9H2&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220505-1347
1,225cy,14 juli,3t. 05min. ,direkte ,17:05–20:10,Norwegian,"
919 kr. ",https://kayak.dk/book/flight?code=LPEib3TIoU.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.13031.c0afb1988eae9dab01f1d384819b46ba&h=917728479b35&sub=E-12e38890705&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M0,20220505-1347
2,225cy,14 juli,9t. 20min. ,1 stop WAW-WMI ,14:00–23:20,"Wizz Air, Ryanair","
418 kr. ",https://kayak.dk/book/flight?code=LPEib3TIoU.47F3EeHCWiIEdn9PX-8xhQ.5927.d3a5b58f47e8971ef8408eed33266769&h=b4ce1d443d62&sub=E-1cbc5e05294&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M1,20220505-1347
3,225cy,14 juli,3t. 00min. ,direkte ,20:25–23:25,Vueling,"
932 kr. ",https://kayak.dk/book/flight?code=LPEib3TIoU.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.13215.193ddd8c69b9bf122571e7d0a42f429e&h=e989246f9dc9&sub=E-1a5dd732813&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M2,20220505-1347
4,225cy,14 juli,3t. 15min. ,direkte ,21:10–00:25+1,Ryanair,"
609 kr. ",https://kayak.dk/book/flight?code=LPEib3TIoU.jw13uSv2aSsWFqH_7WKiog.8636.ff486f54ff8d1c62ae619872c5292498&h=f3a7f39e12b8&sub=E-1ae590733e2&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M3,20220505-1347
5,225cy,14 juli,3t. 00min. ,direkte ,10:45–13:45,Vueling,"
1.031 kr. ",https://kayak.dk/book/flight?code=LPEib3TIoU.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.14619.e99992cea9f1f32a703c35d53a6b24d0&h=0c451e64371c&sub=E-1a5dd732813&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M4,20220505-1347
6,225cy,14 juli,2t. 55min. ,direkte ,15:25–18:20,SAS,"
1.125 kr. ",https://kayak.dk/book/flight?code=LPEib3TIoU.ZheJHZqHLmzKJvcpKN_waA.15943.276ac043007628febab8a6bea40a8eed&h=5a267320b27c&sub=E-1806b77a48b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M5,20220505-1347
7,225cy,14 juli,3t. 05min. ,direkte ,08:15–11:20,Norwegian,"
1.100 kr. ",https://kayak.dk/book/flight?code=LPEib3TIoU.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.15597.83dc937c406ea1f307d92bc2e5c6bb17&h=f15abba92418&sub=E-12e38890705&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M6,20220505-1347
8,225cy,14 juli,3t. 10min. ,direkte ,19:35–22:45,easyJet,"
1.119 kr. ",https://kayak.dk/book/flight?code=LPEib3TIoU.ocptITJiU2A.15867.3f782e69024ab35329397bd8e68ac8f7&h=6976f993fe35&sub=E0dafc9eb939&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M7,20220505-1347
9,225cy,14 juli,3t. 00min. ,direkte ,06:05–09:05,Norwegian,"
1.376 kr. ",https://kayak.dk/book/flight?code=LPEib3TIoU.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.19504.4b5697181f0a67962d8d8ef03cabadb9&h=08a0588b355c&sub=E-12e38890705&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M8,20220505-1347
10,225cy,14 juli,3t. 00min. ,direkte ,20:25–23:25,Vueling,"
1.430 kr. ",https://kayak.dk/book/flight?code=LPEib3TIoU.ymeFkF3WefslUmhXb1m_VQ.20271.e3d28f050e16a80766c7021b68f792d2&h=d0c695cfa953&sub=E-1f7eb347123&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M9,20220505-1347
11,225cy,14 juli,3t. 00min. ,direkte ,10:45–13:45,Vueling,"
1.430 kr. ",https://kayak.dk/book/flight?code=LPEib3TIoU.ymeFkF3WefslUmhXb1m_VQ.20271.9b0d59bd934bbf234b006b806f4b74f0&h=be99e6026b11&sub=E-1f7eb347123&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M10,20220505-1347
12,225cy,14 juli,3t. 00min. ,direkte ,20:25–23:25,Iberia,"
1.443 kr. ",https://kayak.dk/book/flight?code=LPEib3TIoU.glFHOAdR1PwEdn9PX-8xhQ.20461.1c274423c88c73d3faf8c6ea94893734&h=ec000987723b&sub=E-1145dff292b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M11,20220505-1347
13,225cy,14 juli,3t. 00min. ,direkte ,10:45–13:45,Iberia,"
1.443 kr. ",https://kayak.dk/book/flight?code=LPEib3TIoU.glFHOAdR1PwEdn9PX-8xhQ.20461.6f3a85c5c5a5f4631ab89db42c999493&h=fc7d0978f4cc&sub=E-1145dff292b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M12,20220505-1347
14,225cy,14 juli,3t. 15min. ,direkte ,15:40–18:55,Iberia,"
1.454 kr. ",https://kayak.dk/book/flight?code=LPEib3TIoU.ZheJHZqHLmzKJvcpKN_waA.20616.58825b8a07a20c3cf1dac685a80bf569&h=79e020f4ff95&sub=E-186c85a6985&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M13,20220505-1347
15,225cy,14 juli,3t. 05min. ,direkte ,06:00–09:05,SAS,"
1.465 kr. ",https://kayak.dk/book/flight?code=LPEib3TIoU.ZheJHZqHLmzKJvcpKN_waA.20768.42a534a227c2e69e4271308592c36771&h=dca417076dff&sub=E-1806b77a48b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M14,20220505-1347
16,225cy,14 juli,3t. 05min. ,direkte ,16:00–19:05,SAS,"
1.465 kr. ",https://kayak.dk/book/flight?code=LPEib3TIoU.ZheJHZqHLmzKJvcpKN_waA.20768.44d1534970d28cc248cdabc1d9f0bfc7&h=80cecb6e9ee4&sub=E-1806b77a48b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M15,20220505-1347
17,225cy,14 juli,3t. 05min. ,direkte ,14:55–18:00,Vueling,"
1.590 kr. ",https://kayak.dk/book/flight?code=LPEib3TIoU.ymeFkF3WefslUmhXb1m_VQ.22536.0561a9833c8ead611a779cd18c25f7ad&h=f83fb97c41af&sub=E-1f7eb347123&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M16,20220505-1347
18,225cy,14 juli,5t. 20min. ,1 stop WAW ,07:00–12:20,LOT,"
1.071 kr. ",https://kayak.dk/book/flight?code=LPEib3TIoU.aXx7J4vJD0cDzQq2dWkU9A.15186.c07a2e7cc5eeeb728a85dbe3552e017c&h=e24a0f5c1d0e&sub=E-159a5c66abf&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M17,20220505-1347
19,225cy,14 juli,5t. 30min. ,1 stop DUS ,09:35–15:05,Eurowings,"
1.240 kr. ",https://kayak.dk/book/flight?code=LPEib3TIoU.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.17582.40ffa090c1a916204af39e9773f4925e&h=f2f2e4d2d55b&sub=E-1a5dd732813&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M18,20220505-1347
20,225cy,14 juli,4t. 25min. ,1 stop ZRH ,14:50–19:15,SWISS,"
1.652 kr. ",https://kayak.dk/book/flight?code=LPEib3TIoU.e60g2LFm7BOKtDGeeN0IhQ.23417.f5c071c2f8058cb0471e1e543862825a&h=afb2186f28bf&sub=E-130252be3ea&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M19,20220505-1347
21,225cy,14 juli,3t. 05min. ,direkte ,14:55–18:00,Vueling,"
1.940 kr. ",https://kayak.dk/book/flight?code=LPEib3TIoU.ymeFkF3WefslUmhXb1m_VQ.27505.2421fca0539ae0ac1888aa1b09a5cb88&h=de0307b8666b&sub=E-1f7eb347123&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M20,20220505-1347
22,225cy,14 juli,3t. 05min. ,direkte ,14:55–18:00,Iberia,"
1.984 kr. ",https://kayak.dk/book/flight?code=LPEib3TIoU.glFHOAdR1PwEdn9PX-8xhQ.28132.3a392501690e84c899b086c48242cea6&h=e9f0ecc134ff&sub=E-1145dff292b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M21,20220505-1347
23,225cy,14 juli,7t. 50min. ,"2 stop WAW, KTW ",14:00–21:50,"Wizz Air, LOT","
625 kr. ",https://kayak.dk/book/flight?code=LPEib3TIoU.47F3EeHCWiIEdn9PX-8xhQ.8862.5920fb2a9dfc142455c6f087234b36ae&h=c1f83392a952&sub=E-1db6f97c17c&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M22,20220505-1347
24,225cy,14 juli,7t. 00min. ,1 stop RIX ,09:15–16:15,airBaltic,"
753 kr. ",https://kayak.dk/book/flight?code=LPEib3TIoU.ZheJHZqHLmzKJvcpKN_waA.10677.ad49b25596c8c2e8489e327f75206bda&h=ed4dcd998ed7&sub=E-1806b77a48b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M23,20220505-1347
25,225cy,14 juli,7t. 25min. ,1 stop RIX ,09:15–16:40,airBaltic,"
945 kr. ",https://kayak.dk/book/flight?code=LPEib3TIoU.Fs5fII-p3hc0ejdxgNj3abaYAeeTFjgE.13397.b25df551d403235bec4238c305ddb9da&h=e1cfaa7976c2&sub=E-1b71ccbbfb5&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M24,20220505-1347
26,225cy,14 juli,6t. 10min. ,1 stop LGW ,19:00–01:10+1,"Norwegian, easyJet","
974 kr. ",https://kayak.dk/book/flight?code=LPEib3TIoU.47F3EeHCWiIEdn9PX-8xhQ.13811.863226cad497c8125ce1a08a9937bf88&h=8d2c5b14b08c&sub=E-19fa403f995&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M25,20220505-1347
27,225cy,14 juli,7t. 10min. ,1 stop STN ,16:35–23:45,Ryanair,"
1.083 kr. ",https://kayak.dk/book/flight?code=LPEib3TIoU.47F3EeHCWiIEdn9PX-8xhQ.15349.257c7af4175867a0c222a3be7cef2a54&h=b6c8ab2abd4a&sub=E-1fbbb4c00dc&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M26,20220505-1347
